threshold	pid	recordings	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
0.05	73	1	3	80	3	77	0	0	7.866666666666666	0.0375	1.0	0.07228915662650602	9.788135593220339
0.05	89	2	7	75	1	74	6	0	15.05	0.013333333333333334	0.14285714285714285	0.024390243902439025	4.916943521594684
0.05	97	3	6	256	4	252	2	0	23.066666666666666	0.015625	0.6666666666666666	0.030534351145038167	10.92485549132948
0.05	106	1	1	76	0	72	1	4	7.2	0.0	0.0	0.0	10.0
0.06	2	1	2	103	1	102	1	0	8.858333333333333	0.009708737864077669	0.5	0.01904761904761905	11.514581373471309
0.06	3	1	4	81	3	78	1	0	8.316666666666666	0.037037037037037035	0.75	0.07058823529411765	9.37875751503006
0.06	4	1	1	99	1	98	0	0	8.258333333333333	0.010101010101010102	1.0	0.02	11.866801210898084
0.06	5	1	0	81	0	79	0	2	7.733333333333333	0.0		0.0	10.21551724137931
0.06	15	2	5	156	5	151	0	0	16.616666666666667	0.03205128205128205	1.0	0.062111801242236024	9.087261785356068
0.06	17	1	3	161	0	161	3	0	8.966666666666667	0.0	0.0	0.0	17.955390334572492
0.06	37	1	0	84	0	83	0	1	7.991666666666666	0.0		0.0	10.385818561001043
0.06	40	1	0	113	0	112	0	1	7.133333333333334	0.0		0.0	15.700934579439252
0.06	44	1	0	144	0	144	0	0	8.558333333333334	0.0		0.0	16.82570593962999
0.06	48	1	0	91	0	89	0	2	7.341666666666667	0.0		0.0	12.122587968217934
0.06	55	1	0	77	0	77	0	0	7.416666666666667	0.0		0.0	10.382022471910112
0.06	64	1	5	171	3	168	2	0	8.983333333333333	0.017543859649122806	0.6	0.03409090909090909	18.701298701298704
0.06	73	1	3	82	3	79	0	0	7.866666666666666	0.036585365853658534	1.0	0.07058823529411765	10.042372881355933
