comparator	model_version	partition	membership	tolerance_sec	threshold_mode	recordings	pid	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour	median_absolute_error_sec	maximum_absolute_error_sec
DE-D-LOPO	v0.1	validation	primary	15.0	leave_one_pid_out_calibration	20	16	37	181	17	158	20	6	159.35833333333332	0.09714285714285714	0.4594594594594595	0.16037735849056603	0.9914762328086598	0.0	0.0
DE-D-LOPO	v0.1	validation	primary	45.0	leave_one_pid_out_calibration	20	16	37	181	22	151	15	8	159.35833333333332	0.12716763005780346	0.5945945945945946	0.20952380952380953	0.9475500705956179	0.0	30.0
DE-D-LOPO	v0.1	validation	expanded	15.0	leave_one_pid_out_calibration	20	16	51	181	23	158	28	0	159.35833333333332	0.1270718232044199	0.45098039215686275	0.19827586206896552	0.9914762328086598	0.0	0.0
DE-D-LOPO	v0.1	validation	expanded	45.0	leave_one_pid_out_calibration	20	16	51	181	30	151	21	0	159.35833333333332	0.16574585635359115	0.5882352941176471	0.25862068965517243	0.9475500705956179	0.0	30.0
