fusion	partition	subject	pid	cluster_index	event_time_sec	cluster_start_sec	cluster_stop_sec	cluster_span_sec	contributor_count	contributors	source_alarm_count	source_alarm_ids	retained
P6-H2-OR	validation	sub-105	73	17	19920.0	19920.0	19920.0	0.0	1	P6-D	1	P6-D:sub-105:19920.0	True
P6-H2-OR	validation	sub-105	73	18	22020.0	22020.0	22020.0	0.0	1	P6-D	1	P6-D:sub-105:22020.0	True
P6-H2-OR	validation	sub-105	73	19	22380.0	22380.0	22380.0	0.0	1	P6-D	1	P6-D:sub-105:22380.0	True
P6-H2-OR	validation	sub-105	73	20	24480.0	24480.0	24480.0	0.0	1	P6-D	1	P6-D:sub-105:24480.0	True
P6-H2-OR	validation	sub-105	73	21	24660.0	24660.0	24660.0	0.0	1	P6-D	1	P6-D:sub-105:24660.0	True
P6-H2-OR	validation	sub-105	73	22	26160.0	26160.0	26160.0	0.0	2	P6-D;H2-D	2	H2-D:sub-105:26160.0;P6-D:sub-105:26160.0	True
P6-H2-OR	validation	sub-105	73	23	26580.0	26580.0	26580.0	0.0	2	P6-D;H2-D	2	H2-D:sub-105:26580.0;P6-D:sub-105:26580.0	True
P6-H2-OR	validation	sub-105	73	24	26790.0	26790.0	26790.0	0.0	2	P6-D;H2-D	2	H2-D:sub-105:26790.0;P6-D:sub-105:26790.0	True
P6-H2-OR	validation	sub-105	73	25	26880.0	26880.0	26880.0	0.0	1	H2-D	1	H2-D:sub-105:26880.0	True
P6-H2-OR	validation	sub-105	73	26	28440.0	28440.0	28440.0	0.0	1	H2-D	1	H2-D:sub-105:28440.0	True
P6-H2-OR	validation	sub-112	97	0	6180.0	6180.0	6180.0	0.0	1	H2-D	1	H2-D:sub-112:6180.0	True
P6-H2-OR	validation	sub-112	97	1	7980.0	7980.0	7980.0	0.0	1	H2-D	1	H2-D:sub-112:7980.0	True
P6-H2-OR	validation	sub-112	97	2	11700.0	11700.0	11700.0	0.0	1	H2-D	1	H2-D:sub-112:11700.0	True
P6-H2-OR	validation	sub-112	97	3	12180.0	12180.0	12180.0	0.0	2	P6-D;H2-D	2	H2-D:sub-112:12180.0;P6-D:sub-112:12180.0	True
P6-H2-OR	validation	sub-112	97	4	21270.0	21270.0	21300.0	30.0	2	P6-D;H2-D	2	H2-D:sub-112:21270.0;P6-D:sub-112:21300.0	True
P6-H2-OR	validation	sub-112	97	5	23940.0	23940.0	23940.0	0.0	1	H2-D	1	H2-D:sub-112:23940.0	True
P6-H2-OR	validation	sub-112	97	6	25290.0	25290.0	25290.0	0.0	1	H2-D	1	H2-D:sub-112:25290.0	True
P6-H2-OR	validation	sub-112	97	7	26130.0	26130.0	26130.0	0.0	1	H2-D	1	H2-D:sub-112:26130.0	True
P6-H2-OR	validation	sub-113	97	0	16980.0	16980.0	16980.0	0.0	1	H2-D	1	H2-D:sub-113:16980.0	True
P6-H2-OR	validation	sub-113	97	1	21870.0	21870.0	21870.0	0.0	1	H2-D	1	H2-D:sub-113:21870.0	True
P6-H2-OR	validation	sub-113	97	2	22650.0	22650.0	22650.0	0.0	1	H2-D	1	H2-D:sub-113:22650.0	True
P6-H2-OR	validation	sub-113	97	3	23550.0	23550.0	23550.0	0.0	1	H2-D	1	H2-D:sub-113:23550.0	True
P6-H2-OR	validation	sub-113	97	4	25290.0	25290.0	25290.0	0.0	1	H2-D	1	H2-D:sub-113:25290.0	True
P6-H2-OR	validation	sub-113	97	5	26040.0	26040.0	26040.0	0.0	2	P6-D;H2-D	2	H2-D:sub-113:26040.0;P6-D:sub-113:26040.0	True
P6-H2-OR	validation	sub-113	97	6	26220.0	26220.0	26220.0	0.0	1	P6-D	1	P6-D:sub-113:26220.0	True
P6-H2-OR	validation	sub-113	97	7	26850.0	26850.0	26850.0	0.0	1	H2-D	1	H2-D:sub-113:26850.0	True
P6-H2-OR	validation	sub-113	97	8	27120.0	27120.0	27120.0	0.0	1	H2-D	1	H2-D:sub-113:27120.0	True
P6-H2-OR	validation	sub-114	97	0	780.0	780.0	780.0	0.0	1	H2-D	1	H2-D:sub-114:780.0	True
P6-H2-OR	validation	sub-114	97	1	17280.0	17280.0	17280.0	0.0	1	H2-D	1	H2-D:sub-114:17280.0	True
P6-H2-OR	validation	sub-114	97	2	20040.0	20040.0	20040.0	0.0	1	H2-D	1	H2-D:sub-114:20040.0	True
P6-H2-OR	validation	sub-114	97	3	20850.0	20850.0	20850.0	0.0	1	H2-D	1	H2-D:sub-114:20850.0	True
P6-H2-OR	validation	sub-114	97	4	22320.0	22320.0	22320.0	0.0	1	H2-D	1	H2-D:sub-114:22320.0	True
P6-H2-OR	validation	sub-114	97	5	24120.0	24120.0	24120.0	0.0	1	H2-D	1	H2-D:sub-114:24120.0	True
P6-H2-OR	validation	sub-114	97	6	25260.0	25260.0	25260.0	0.0	1	H2-D	1	H2-D:sub-114:25260.0	True
P6-H2-OR	validation	sub-114	97	7	26100.0	26100.0	26100.0	0.0	1	H2-D	1	H2-D:sub-114:26100.0	True
P6-H2-OR	validation	sub-114	97	8	26970.0	26970.0	26970.0	0.0	1	H2-D	1	H2-D:sub-114:26970.0	True
P6-H2-OR	validation	sub-124	15	0	540.0	540.0	540.0	0.0	1	H2-D	1	H2-D:sub-124:540.0	True
P6-H2-OR	validation	sub-124	15	1	1080.0	1080.0	1080.0	0.0	1	P6-D	1	P6-D:sub-124:1080.0	True
P6-H2-OR	validation	sub-124	15	2	1980.0	1980.0	1980.0	0.0	1	P6-D	1	P6-D:sub-124:1980.0	True
P6-H2-OR	validation	sub-124	15	3	2400.0	2400.0	2400.0	0.0	1	H2-D	1	H2-D:sub-124:2400.0	True
