method	method_role	partition	membership	tolerance_sec	pid	recordings	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
H2-D	frozen_direct_control	validation	expanded	45.0	73	1	3	12	3	9	0	0	7.866666666666666	0.25	1.0	0.4	1.1440677966101696
H2-D	frozen_direct_control	validation	expanded	45.0	89	2	7	27	2	25	5	0	15.05	0.07407407407407407	0.2857142857142857	0.11764705882352941	1.6611295681063123
H2-D	frozen_direct_control	validation	expanded	45.0	97	3	6	25	4	21	2	0	23.066666666666666	0.16	0.6666666666666666	0.25806451612903225	0.9104046242774566
H2-D	frozen_direct_control	validation	expanded	45.0	106	1	6	12	5	7	1	0	7.2	0.4166666666666667	0.8333333333333334	0.5555555555555556	0.9722222222222222
P6-H2-OR	fixed_alarm_fusion	validation	primary	15.0	2	1	2	59	2	57	0	0	8.858333333333333	0.03389830508474576	1.0	0.06557377049180328	6.434619002822202
P6-H2-OR	fixed_alarm_fusion	validation	primary	15.0	3	1	4	15	3	12	1	0	8.316666666666666	0.2	0.75	0.3157894736842105	1.4428857715430863
P6-H2-OR	fixed_alarm_fusion	validation	primary	15.0	4	1	1	21	1	20	0	0	8.258333333333333	0.047619047619047616	1.0	0.09090909090909091	2.421796165489405
P6-H2-OR	fixed_alarm_fusion	validation	primary	15.0	5	1	0	53	0	51	0	2	7.733333333333333	0.0		0.0	6.594827586206897
P6-H2-OR	fixed_alarm_fusion	validation	primary	15.0	15	2	5	22	3	18	2	1	16.616666666666667	0.14285714285714285	0.6	0.23076923076923078	1.083249749247743
P6-H2-OR	fixed_alarm_fusion	validation	primary	15.0	17	1	3	27	0	27	3	0	8.966666666666667	0.0	0.0	0.0	3.0111524163568775
P6-H2-OR	fixed_alarm_fusion	validation	primary	15.0	37	1	0	7	0	6	0	1	7.991666666666666	0.0		0.0	0.7507820646506779
P6-H2-OR	fixed_alarm_fusion	validation	primary	15.0	40	1	0	34	0	33	0	1	7.133333333333334	0.0		0.0	4.626168224299065
P6-H2-OR	fixed_alarm_fusion	validation	primary	15.0	44	1	0	1	0	1	0	0	8.558333333333334	0.0		0.0	0.11684518013631938
P6-H2-OR	fixed_alarm_fusion	validation	primary	15.0	48	1	0	11	0	9	0	2	7.341666666666667	0.0		0.0	1.2258796821793416
P6-H2-OR	fixed_alarm_fusion	validation	primary	15.0	55	1	0	11	0	11	0	0	7.416666666666667	0.0		0.0	1.4831460674157302
P6-H2-OR	fixed_alarm_fusion	validation	primary	15.0	64	1	5	19	4	15	1	0	8.983333333333333	0.21052631578947367	0.8	0.3333333333333333	1.6697588126159557
P6-H2-OR	fixed_alarm_fusion	validation	primary	15.0	73	1	3	27	2	25	1	0	7.866666666666666	0.07407407407407407	0.6666666666666666	0.13333333333333333	3.1779661016949152
P6-H2-OR	fixed_alarm_fusion	validation	primary	15.0	89	2	7	47	3	41	4	3	15.05	0.06818181818181818	0.42857142857142855	0.11764705882352941	2.7242524916943522
P6-H2-OR	fixed_alarm_fusion	validation	primary	15.0	97	3	6	26	5	21	1	0	23.066666666666666	0.19230769230769232	0.8333333333333334	0.3125	0.9104046242774566
P6-H2-OR	fixed_alarm_fusion	validation	primary	15.0	106	1	1	14	0	11	1	3	7.2	0.0	0.0	0.0	1.5277777777777777
P6-H2-OR	fixed_alarm_fusion	validation	primary	45.0	2	1	2	59	2	57	0	0	8.858333333333333	0.03389830508474576	1.0	0.06557377049180328	6.434619002822202
P6-H2-OR	fixed_alarm_fusion	validation	primary	45.0	3	1	4	15	4	11	0	0	8.316666666666666	0.26666666666666666	1.0	0.42105263157894735	1.3226452905811623
P6-H2-OR	fixed_alarm_fusion	validation	primary	45.0	4	1	1	21	1	20	0	0	8.258333333333333	0.047619047619047616	1.0	0.09090909090909091	2.421796165489405
P6-H2-OR	fixed_alarm_fusion	validation	primary	45.0	5	1	0	53	0	50	0	3	7.733333333333333	0.0		0.0	6.4655172413793105
P6-H2-OR	fixed_alarm_fusion	validation	primary	45.0	15	2	5	22	3	18	2	1	16.616666666666667	0.14285714285714285	0.6	0.23076923076923078	1.083249749247743
P6-H2-OR	fixed_alarm_fusion	validation	primary	45.0	17	1	3	27	1	26	2	0	8.966666666666667	0.037037037037037035	0.3333333333333333	0.06666666666666667	2.899628252788104
P6-H2-OR	fixed_alarm_fusion	validation	primary	45.0	37	1	0	7	0	6	0	1	7.991666666666666	0.0		0.0	0.7507820646506779
P6-H2-OR	fixed_alarm_fusion	validation	primary	45.0	40	1	0	34	0	32	0	2	7.133333333333334	0.0		0.0	4.485981308411215
P6-H2-OR	fixed_alarm_fusion	validation	primary	45.0	44	1	0	1	0	1	0	0	8.558333333333334	0.0		0.0	0.11684518013631938
P6-H2-OR	fixed_alarm_fusion	validation	primary	45.0	48	1	0	11	0	9	0	2	7.341666666666667	0.0		0.0	1.2258796821793416
P6-H2-OR	fixed_alarm_fusion	validation	primary	45.0	55	1	0	11	0	11	0	0	7.416666666666667	0.0		0.0	1.4831460674157302
P6-H2-OR	fixed_alarm_fusion	validation	primary	45.0	64	1	5	19	4	15	1	0	8.983333333333333	0.21052631578947367	0.8	0.3333333333333333	1.6697588126159557
P6-H2-OR	fixed_alarm_fusion	validation	primary	45.0	73	1	3	27	3	24	0	0	7.866666666666666	0.1111111111111111	1.0	0.2	3.050847457627119
P6-H2-OR	fixed_alarm_fusion	validation	primary	45.0	89	2	7	47	3	40	4	4	15.05	0.06976744186046512	0.42857142857142855	0.12	2.6578073089700998
P6-H2-OR	fixed_alarm_fusion	validation	primary	45.0	97	3	6	26	5	21	1	0	23.066666666666666	0.19230769230769232	0.8333333333333334	0.3125	0.9104046242774566
P6-H2-OR	fixed_alarm_fusion	validation	primary	45.0	106	1	1	14	1	8	0	5	7.2	0.1111111111111111	1.0	0.2	1.1111111111111112
P6-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	2	1	2	59	2	57	0	0	8.858333333333333	0.03389830508474576	1.0	0.06557377049180328	6.434619002822202
P6-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	3	1	4	15	3	12	1	0	8.316666666666666	0.2	0.75	0.3157894736842105	1.4428857715430863
P6-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	4	1	1	21	1	20	0	0	8.258333333333333	0.047619047619047616	1.0	0.09090909090909091	2.421796165489405
P6-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	5	1	3	53	2	51	1	0	7.733333333333333	0.03773584905660377	0.6666666666666666	0.07142857142857142	6.594827586206897
P6-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	15	2	5	22	3	18	2	1	16.616666666666667	0.14285714285714285	0.6	0.23076923076923078	1.083249749247743
P6-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	17	1	3	27	0	27	3	0	8.966666666666667	0.0	0.0	0.0	3.0111524163568775
P6-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	37	1	2	7	1	6	1	0	7.991666666666666	0.14285714285714285	0.5	0.2222222222222222	0.7507820646506779
P6-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	40	1	2	34	1	33	1	0	7.133333333333334	0.029411764705882353	0.5	0.05555555555555555	4.626168224299065
P6-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	44	1	0	1	0	1	0	0	8.558333333333334	0.0		0.0	0.11684518013631938
P6-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	48	1	2	11	2	9	0	0	7.341666666666667	0.18181818181818182	1.0	0.3076923076923077	1.2258796821793416
P6-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	55	1	0	11	0	11	0	0	7.416666666666667	0.0		0.0	1.4831460674157302
P6-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	64	1	5	19	4	15	1	0	8.983333333333333	0.21052631578947367	0.8	0.3333333333333333	1.6697588126159557
P6-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	73	1	3	27	2	25	1	0	7.866666666666666	0.07407407407407407	0.6666666666666666	0.13333333333333333	3.1779661016949152
P6-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	89	2	7	47	3	41	4	3	15.05	0.06818181818181818	0.42857142857142855	0.11764705882352941	2.7242524916943522
P6-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	97	3	6	26	5	21	1	0	23.066666666666666	0.19230769230769232	0.8333333333333334	0.3125	0.9104046242774566
P6-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	106	1	6	14	3	11	3	0	7.2	0.21428571428571427	0.5	0.3	1.5277777777777777
P6-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	2	1	2	59	2	57	0	0	8.858333333333333	0.03389830508474576	1.0	0.06557377049180328	6.434619002822202
P6-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	3	1	4	15	4	11	0	0	8.316666666666666	0.26666666666666666	1.0	0.42105263157894735	1.3226452905811623
P6-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	4	1	1	21	1	20	0	0	8.258333333333333	0.047619047619047616	1.0	0.09090909090909091	2.421796165489405
P6-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	5	1	3	53	3	50	0	0	7.733333333333333	0.05660377358490566	1.0	0.10714285714285714	6.4655172413793105
P6-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	15	2	5	22	3	18	2	1	16.616666666666667	0.14285714285714285	0.6	0.23076923076923078	1.083249749247743
P6-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	17	1	3	27	1	26	2	0	8.966666666666667	0.037037037037037035	0.3333333333333333	0.06666666666666667	2.899628252788104
P6-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	37	1	2	7	1	6	1	0	7.991666666666666	0.14285714285714285	0.5	0.2222222222222222	0.7507820646506779
P6-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	40	1	2	34	2	32	0	0	7.133333333333334	0.058823529411764705	1.0	0.1111111111111111	4.485981308411215
P6-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	44	1	0	1	0	1	0	0	8.558333333333334	0.0		0.0	0.11684518013631938
P6-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	48	1	2	11	2	9	0	0	7.341666666666667	0.18181818181818182	1.0	0.3076923076923077	1.2258796821793416
P6-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	55	1	0	11	0	11	0	0	7.416666666666667	0.0		0.0	1.4831460674157302
P6-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	64	1	5	19	4	15	1	0	8.983333333333333	0.21052631578947367	0.8	0.3333333333333333	1.6697588126159557
P6-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	73	1	3	27	3	24	0	0	7.866666666666666	0.1111111111111111	1.0	0.2	3.050847457627119
P6-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	89	2	7	47	3	40	4	4	15.05	0.06976744186046512	0.42857142857142855	0.12	2.6578073089700998
P6-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	97	3	6	26	5	21	1	0	23.066666666666666	0.19230769230769232	0.8333333333333334	0.3125	0.9104046242774566
P6-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	106	1	6	14	6	8	0	0	7.2	0.42857142857142855	1.0	0.6	1.1111111111111112
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	15.0	2	1	2	60	2	58	0	0	8.858333333333333	0.03333333333333333	1.0	0.06451612903225806	6.547507055503293
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	15.0	3	1	4	15	3	12	1	0	8.316666666666666	0.2	0.75	0.3157894736842105	1.4428857715430863
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	15.0	4	1	1	21	1	20	0	0	8.258333333333333	0.047619047619047616	1.0	0.09090909090909091	2.421796165489405
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	15.0	5	1	0	54	0	52	0	2	7.733333333333333	0.0		0.0	6.724137931034483
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	15.0	15	2	5	22	3	18	2	1	16.616666666666667	0.14285714285714285	0.6	0.23076923076923078	1.083249749247743
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	15.0	17	1	3	27	0	27	3	0	8.966666666666667	0.0	0.0	0.0	3.0111524163568775
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	15.0	37	1	0	7	0	6	0	1	7.991666666666666	0.0		0.0	0.7507820646506779
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	15.0	40	1	0	34	0	33	0	1	7.133333333333334	0.0		0.0	4.626168224299065
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	15.0	44	1	0	1	0	1	0	0	8.558333333333334	0.0		0.0	0.11684518013631938
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	15.0	48	1	0	11	0	9	0	2	7.341666666666667	0.0		0.0	1.2258796821793416
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	15.0	55	1	0	11	0	11	0	0	7.416666666666667	0.0		0.0	1.4831460674157302
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	15.0	64	1	5	21	4	17	1	0	8.983333333333333	0.19047619047619047	0.8	0.3076923076923077	1.8923933209647497
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	15.0	73	1	3	28	2	26	1	0	7.866666666666666	0.07142857142857142	0.6666666666666666	0.12903225806451613	3.305084745762712
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	15.0	89	2	7	48	3	42	4	3	15.05	0.06666666666666667	0.42857142857142855	0.11538461538461539	2.7906976744186047
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	15.0	97	3	6	26	5	21	1	0	23.066666666666666	0.19230769230769232	0.8333333333333334	0.3125	0.9104046242774566
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	15.0	106	1	1	14	0	11	1	3	7.2	0.0	0.0	0.0	1.5277777777777777
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	45.0	2	1	2	60	2	58	0	0	8.858333333333333	0.03333333333333333	1.0	0.06451612903225806	6.547507055503293
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	45.0	3	1	4	15	4	11	0	0	8.316666666666666	0.26666666666666666	1.0	0.42105263157894735	1.3226452905811623
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	45.0	4	1	1	21	1	20	0	0	8.258333333333333	0.047619047619047616	1.0	0.09090909090909091	2.421796165489405
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	45.0	5	1	0	54	0	51	0	3	7.733333333333333	0.0		0.0	6.594827586206897
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	45.0	15	2	5	22	3	18	2	1	16.616666666666667	0.14285714285714285	0.6	0.23076923076923078	1.083249749247743
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	45.0	17	1	3	27	1	26	2	0	8.966666666666667	0.037037037037037035	0.3333333333333333	0.06666666666666667	2.899628252788104
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	45.0	37	1	0	7	0	6	0	1	7.991666666666666	0.0		0.0	0.7507820646506779
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	45.0	40	1	0	34	0	32	0	2	7.133333333333334	0.0		0.0	4.485981308411215
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	45.0	44	1	0	1	0	1	0	0	8.558333333333334	0.0		0.0	0.11684518013631938
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	45.0	48	1	0	11	0	9	0	2	7.341666666666667	0.0		0.0	1.2258796821793416
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	45.0	55	1	0	11	0	11	0	0	7.416666666666667	0.0		0.0	1.4831460674157302
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	45.0	64	1	5	21	4	17	1	0	8.983333333333333	0.19047619047619047	0.8	0.3076923076923077	1.8923933209647497
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	45.0	73	1	3	28	3	25	0	0	7.866666666666666	0.10714285714285714	1.0	0.1935483870967742	3.1779661016949152
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	45.0	89	2	7	48	3	41	4	4	15.05	0.06818181818181818	0.42857142857142855	0.11764705882352941	2.7242524916943522
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	45.0	97	3	6	26	5	21	1	0	23.066666666666666	0.19230769230769232	0.8333333333333334	0.3125	0.9104046242774566
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	45.0	106	1	1	14	1	8	0	5	7.2	0.1111111111111111	1.0	0.2	1.1111111111111112
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	2	1	2	60	2	58	0	0	8.858333333333333	0.03333333333333333	1.0	0.06451612903225806	6.547507055503293
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	3	1	4	15	3	12	1	0	8.316666666666666	0.2	0.75	0.3157894736842105	1.4428857715430863
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	4	1	1	21	1	20	0	0	8.258333333333333	0.047619047619047616	1.0	0.09090909090909091	2.421796165489405
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	5	1	3	54	2	52	1	0	7.733333333333333	0.037037037037037035	0.6666666666666666	0.07017543859649122	6.724137931034483
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	15	2	5	22	3	18	2	1	16.616666666666667	0.14285714285714285	0.6	0.23076923076923078	1.083249749247743
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	17	1	3	27	0	27	3	0	8.966666666666667	0.0	0.0	0.0	3.0111524163568775
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	37	1	2	7	1	6	1	0	7.991666666666666	0.14285714285714285	0.5	0.2222222222222222	0.7507820646506779
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	40	1	2	34	1	33	1	0	7.133333333333334	0.029411764705882353	0.5	0.05555555555555555	4.626168224299065
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	44	1	0	1	0	1	0	0	8.558333333333334	0.0		0.0	0.11684518013631938
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	48	1	2	11	2	9	0	0	7.341666666666667	0.18181818181818182	1.0	0.3076923076923077	1.2258796821793416
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	55	1	0	11	0	11	0	0	7.416666666666667	0.0		0.0	1.4831460674157302
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	64	1	5	21	4	17	1	0	8.983333333333333	0.19047619047619047	0.8	0.3076923076923077	1.8923933209647497
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	73	1	3	28	2	26	1	0	7.866666666666666	0.07142857142857142	0.6666666666666666	0.12903225806451613	3.305084745762712
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	89	2	7	48	3	42	4	3	15.05	0.06666666666666667	0.42857142857142855	0.11538461538461539	2.7906976744186047
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	97	3	6	26	5	21	1	0	23.066666666666666	0.19230769230769232	0.8333333333333334	0.3125	0.9104046242774566
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	106	1	6	14	3	11	3	0	7.2	0.21428571428571427	0.5	0.3	1.5277777777777777
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	2	1	2	60	2	58	0	0	8.858333333333333	0.03333333333333333	1.0	0.06451612903225806	6.547507055503293
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	3	1	4	15	4	11	0	0	8.316666666666666	0.26666666666666666	1.0	0.42105263157894735	1.3226452905811623
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	4	1	1	21	1	20	0	0	8.258333333333333	0.047619047619047616	1.0	0.09090909090909091	2.421796165489405
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	5	1	3	54	3	51	0	0	7.733333333333333	0.05555555555555555	1.0	0.10526315789473684	6.594827586206897
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	15	2	5	22	3	18	2	1	16.616666666666667	0.14285714285714285	0.6	0.23076923076923078	1.083249749247743
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	17	1	3	27	1	26	2	0	8.966666666666667	0.037037037037037035	0.3333333333333333	0.06666666666666667	2.899628252788104
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	37	1	2	7	1	6	1	0	7.991666666666666	0.14285714285714285	0.5	0.2222222222222222	0.7507820646506779
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	40	1	2	34	2	32	0	0	7.133333333333334	0.058823529411764705	1.0	0.1111111111111111	4.485981308411215
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	44	1	0	1	0	1	0	0	8.558333333333334	0.0		0.0	0.11684518013631938
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	48	1	2	11	2	9	0	0	7.341666666666667	0.18181818181818182	1.0	0.3076923076923077	1.2258796821793416
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	55	1	0	11	0	11	0	0	7.416666666666667	0.0		0.0	1.4831460674157302
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	64	1	5	21	4	17	1	0	8.983333333333333	0.19047619047619047	0.8	0.3076923076923077	1.8923933209647497
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	73	1	3	28	3	25	0	0	7.866666666666666	0.10714285714285714	1.0	0.1935483870967742	3.1779661016949152
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	89	2	7	48	3	41	4	4	15.05	0.06818181818181818	0.42857142857142855	0.11764705882352941	2.7242524916943522
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	97	3	6	26	5	21	1	0	23.066666666666666	0.19230769230769232	0.8333333333333334	0.3125	0.9104046242774566
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	106	1	6	14	6	8	0	0	7.2	0.42857142857142855	1.0	0.6	1.1111111111111112
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	15.0	2	1	2	9	2	7	0	0	8.858333333333333	0.2222222222222222	1.0	0.36363636363636365	0.7902163687676388
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	15.0	3	1	4	1	1	0	3	0	8.316666666666666	1.0	0.25	0.4	0.0
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	15.0	4	1	1	7	0	7	1	0	8.258333333333333	0.0	0.0	0.0	0.8476286579212917
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	15.0	5	1	0	16	0	14	0	2	7.733333333333333	0.0		0.0	1.8103448275862069
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	15.0	15	2	5	7	2	4	3	1	16.616666666666667	0.3333333333333333	0.4	0.36363636363636365	0.24072216649949849
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	15.0	17	1	3	11	0	11	3	0	8.966666666666667	0.0	0.0	0.0	1.2267657992565055
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	15.0	37	1	0	1	0	0	0	1	7.991666666666666				0.0
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	15.0	40	1	0	3	0	2	0	1	7.133333333333334	0.0		0.0	0.2803738317757009
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	15.0	44	1	0	1	0	1	0	0	8.558333333333334	0.0		0.0	0.11684518013631938
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	15.0	48	1	0	5	0	3	0	2	7.341666666666667	0.0		0.0	0.4086265607264472
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	15.0	55	1	0	5	0	5	0	0	7.416666666666667	0.0		0.0	0.6741573033707865
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	15.0	64	1	5	12	3	9	2	0	8.983333333333333	0.25	0.6	0.35294117647058826	1.0018552875695734
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	15.0	73	1	3	9	2	7	1	0	7.866666666666666	0.2222222222222222	0.6666666666666666	0.3333333333333333	0.8898305084745763
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	15.0	89	2	7	15	2	13	5	0	15.05	0.13333333333333333	0.2857142857142857	0.18181818181818182	0.8637873754152824
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	15.0	97	3	6	4	3	1	3	0	23.066666666666666	0.75	0.5	0.6	0.04335260115606936
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	15.0	106	1	1	4	0	2	1	2	7.2	0.0	0.0	0.0	0.2777777777777778
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	45.0	2	1	2	9	2	7	0	0	8.858333333333333	0.2222222222222222	1.0	0.36363636363636365	0.7902163687676388
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	45.0	3	1	4	1	1	0	3	0	8.316666666666666	1.0	0.25	0.4	0.0
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	45.0	4	1	1	7	0	7	1	0	8.258333333333333	0.0	0.0	0.0	0.8476286579212917
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	45.0	5	1	0	16	0	13	0	3	7.733333333333333	0.0		0.0	1.6810344827586208
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	45.0	15	2	5	7	2	4	3	1	16.616666666666667	0.3333333333333333	0.4	0.36363636363636365	0.24072216649949849
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	45.0	17	1	3	11	1	10	2	0	8.966666666666667	0.09090909090909091	0.3333333333333333	0.14285714285714285	1.1152416356877324
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	45.0	37	1	0	1	0	0	0	1	7.991666666666666				0.0
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	45.0	40	1	0	3	0	1	0	2	7.133333333333334	0.0		0.0	0.14018691588785046
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	45.0	44	1	0	1	0	1	0	0	8.558333333333334	0.0		0.0	0.11684518013631938
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	45.0	48	1	0	5	0	3	0	2	7.341666666666667	0.0		0.0	0.4086265607264472
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	45.0	55	1	0	5	0	5	0	0	7.416666666666667	0.0		0.0	0.6741573033707865
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	45.0	64	1	5	12	3	9	2	0	8.983333333333333	0.25	0.6	0.35294117647058826	1.0018552875695734
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	45.0	73	1	3	9	3	6	0	0	7.866666666666666	0.3333333333333333	1.0	0.5	0.7627118644067797
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	45.0	89	2	7	15	2	12	5	1	15.05	0.14285714285714285	0.2857142857142857	0.19047619047619047	0.7973421926910299
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	45.0	97	3	6	4	3	1	3	0	23.066666666666666	0.75	0.5	0.6	0.04335260115606936
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	45.0	106	1	1	4	0	1	1	3	7.2	0.0	0.0	0.0	0.1388888888888889
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	expanded	15.0	2	1	2	9	2	7	0	0	8.858333333333333	0.2222222222222222	1.0	0.36363636363636365	0.7902163687676388
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	expanded	15.0	3	1	4	1	1	0	3	0	8.316666666666666	1.0	0.25	0.4	0.0
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	expanded	15.0	4	1	1	7	0	7	1	0	8.258333333333333	0.0	0.0	0.0	0.8476286579212917
