method	method_role	partition	membership	tolerance_sec	pid	recordings	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
P6-D	frozen_direct_control	validation	expanded	45.0	44	1	0	1	0	1	0	0	8.558333333333334	0.0		0.0	0.11684518013631938
P6-D	frozen_direct_control	validation	expanded	45.0	48	1	2	3	2	1	0	0	7.341666666666667	0.6666666666666666	1.0	0.8	0.1362088535754824
P6-D	frozen_direct_control	validation	expanded	45.0	55	1	0	3	0	3	0	0	7.416666666666667	0.0		0.0	0.4044943820224719
P6-D	frozen_direct_control	validation	expanded	45.0	64	1	5	8	3	5	2	0	8.983333333333333	0.375	0.6	0.46153846153846156	0.5565862708719852
P6-D	frozen_direct_control	validation	expanded	45.0	73	1	3	21	3	18	0	0	7.866666666666666	0.14285714285714285	1.0	0.25	2.288135593220339
P6-D	frozen_direct_control	validation	expanded	45.0	89	2	7	30	3	23	4	4	15.05	0.11538461538461539	0.42857142857142855	0.18181818181818182	1.5282392026578073
P6-D	frozen_direct_control	validation	expanded	45.0	97	3	6	4	4	0	2	0	23.066666666666666	1.0	0.6666666666666666	0.8	0.0
P6-D	frozen_direct_control	validation	expanded	45.0	106	1	6	4	3	1	3	0	7.2	0.75	0.5	0.6	0.1388888888888889
P2-D	frozen_direct_control	validation	primary	15.0	2	1	2	7	1	6	1	0	8.858333333333333	0.14285714285714285	0.5	0.2222222222222222	0.6773283160865475
P2-D	frozen_direct_control	validation	primary	15.0	3	1	4	1	1	0	3	0	8.316666666666666	1.0	0.25	0.4	0.0
P2-D	frozen_direct_control	validation	primary	15.0	4	1	1	2	0	2	1	0	8.258333333333333	0.0	0.0	0.0	0.2421796165489405
P2-D	frozen_direct_control	validation	primary	15.0	5	1	0	6	0	5	0	1	7.733333333333333	0.0		0.0	0.646551724137931
P2-D	frozen_direct_control	validation	primary	15.0	15	2	5	6	2	3	3	1	16.616666666666667	0.4	0.4	0.4	0.18054162487462386
P2-D	frozen_direct_control	validation	primary	15.0	17	1	3	4	0	4	3	0	8.966666666666667	0.0	0.0	0.0	0.44609665427509293
P2-D	frozen_direct_control	validation	primary	15.0	37	1	0	0	0	0	0	0	7.991666666666666				0.0
P2-D	frozen_direct_control	validation	primary	15.0	40	1	0	3	0	2	0	1	7.133333333333334	0.0		0.0	0.2803738317757009
P2-D	frozen_direct_control	validation	primary	15.0	44	1	0	0	0	0	0	0	8.558333333333334				0.0
P2-D	frozen_direct_control	validation	primary	15.0	48	1	0	5	0	3	0	2	7.341666666666667	0.0		0.0	0.4086265607264472
P2-D	frozen_direct_control	validation	primary	15.0	55	1	0	5	0	5	0	0	7.416666666666667	0.0		0.0	0.6741573033707865
P2-D	frozen_direct_control	validation	primary	15.0	64	1	5	14	3	11	2	0	8.983333333333333	0.21428571428571427	0.6	0.3157894736842105	1.2244897959183674
P2-D	frozen_direct_control	validation	primary	15.0	73	1	3	5	0	5	3	0	7.866666666666666	0.0	0.0	0.0	0.6355932203389831
