comparison	metric	point_difference	resamples	seed	lower_95	median	upper_95
P6-H2-OR_minus_P6-D_at_15sec	f1	-0.05304228186541264	5000	20260913	-0.10719035272511208	-0.052847730510146095	-0.02443717714339289
P6-H2-OR_minus_P6-D_at_15sec	false_alarms_per_hour	1.1358050515086546	5000	20260913	0.753568328264025	1.1155746774284632	1.6836689482435305
P6-P2-H2-OR_minus_P6-D_at_15sec	f1	-0.05459956271762895	5000	20260913	-0.1086016819079944	-0.054354902306951065	-0.025657484171718967
P6-P2-H2-OR_minus_P6-D_at_15sec	false_alarms_per_hour	1.1734560476912619	5000	20260913	0.7828406599415483	1.1530245345531434	1.7354621681916416
P6-P2-H2-2OF3_minus_P6-D_at_15sec	f1	0.05430117559246128	5000	20260913	-0.019205924775710793	0.04779804047098993	0.13225608441988268
P6-P2-H2-2OF3_minus_P6-D_at_15sec	false_alarms_per_hour	-0.5710401087695447	5000	20260913	-1.1759165751961909	-0.538207031351687	-0.13458052096895548
P6-H2-OR_minus_P6-D_at_45sec	f1	-0.06838359380732262	5000	20260913	-0.1418675921357269	-0.067627585264978	-0.03148439699841953
P6-H2-OR_minus_P6-D_at_45sec	false_alarms_per_hour	1.116979553417351	5000	20260913	0.7414423676819037	1.0966019965064697	1.6479033518782473
P6-P2-H2-OR_minus_P6-D_at_45sec	f1	-0.07025591751128743	5000	20260913	-0.14505908630711659	-0.0695624737507466	-0.03332366492285372
P6-P2-H2-OR_minus_P6-D_at_45sec	false_alarms_per_hour	1.1546305495999583	5000	20260913	0.7703556813171892	1.13300410271815	1.6975881913304371
P6-P2-H2-2OF3_minus_P6-D_at_45sec	f1	0.054597144149382965	5000	20260913	-0.04175870167085004	0.04768769554865812	0.13812128598824178
P6-P2-H2-2OF3_minus_P6-D_at_45sec	false_alarms_per_hour	-0.5710401087695445	5000	20260913	-1.177479788895131	-0.5389069960982862	-0.13307078320436033
P6-P2-H2-2OF3_45sec_minus_15sec	f1	0.03634003893575602	5000	20260913	0.005882770449178276	0.034552639578478095	0.07541454895016829
