comparator	model_version	provenance_role	partition	epochs	accuracy	balanced_accuracy	macro_f1	cohen_kappa
SF-A	v0.1	fixed_descriptive_unknown_training_provenance	test	23086	0.8718270813480031	0.7063789722260114	0.7247795666258743	0.7862637267602878
SF-B	v0.1	transparent_participant_grouped_epoch_ablation	test	24159	0.563185562316321	0.5359995545983331	0.438236012777548	0.387432071765562
SF-C	v0.1	transparent_participant_grouped_primary	test	23991	0.6205243633029053	0.6079690066346674	0.4978761717704406	0.4512718371926475
SF-A	v0.1	fixed_descriptive_unknown_training_provenance	train	74012	0.8634275522888181	0.6960756500508433	0.7102580128347681	0.7603865848303143
SF-B	v0.1	transparent_participant_grouped_epoch_ablation	train	76316	0.5325619791393679	0.5415693042424565	0.4265170540681359	0.347015664559374
SF-C	v0.1	transparent_participant_grouped_primary	train	75872	0.5839835512442008	0.6127971567849837	0.4810035241039602	0.4035787737021099
SF-A	v0.1	fixed_descriptive_unknown_training_provenance	validation	17792	0.8780912769784173	0.7181826743544828	0.7468518735015898	0.7809912940248831
SF-B	v0.1	transparent_participant_grouped_epoch_ablation	validation	19284	0.5467745281062021	0.5384197723461462	0.4459988978058552	0.3628177337324744
SF-C	v0.1	transparent_participant_grouped_primary	validation	19192	0.5959253855773239	0.6052130235028453	0.4968732506017851	0.4163443698553555
