comparator	model_version	partition	membership	tolerance_sec	threshold	recordings	pid	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour	median_absolute_error_sec	maximum_absolute_error_sec	model_sha256	selection_rule
DE-A	v0.1	validation	primary	15.0	0.97	20	16	37	160	11	143	26	6	160.50833333333333	0.07142857142857142	0.2972972972972973	0.11518324607329843	0.8909194745859509	0.0	0.0	ebbd066d27da04f7ef683656d652f7e9887d2937da6b50c5191adbf2d340cdd4	max_f1_then_min_far_then_max_recall_then_max_threshold
DE-B	v0.1	validation	primary	15.0	0.96	20	16	37	255	16	231	21	8	159.35833333333332	0.06477732793522267	0.43243243243243246	0.11267605633802817	1.4495633530303824	0.0	0.0	3667991d53536bafc06ad0de7163eb9f2489460c2f1b66b8cbb48b560084e92d	max_f1_then_min_far_then_max_recall_then_max_threshold
