transition_id	subject	pid	transition_type	boundary_onset_sec	signal_pair	availability	best_lag_samples	best_lag_sec	best_signed_corr	best_abs_corr	usable_for_alignment
116	sub-26	18	REM_to_Wake	28890.0	HB_1_vs_PSG_F3	available	1	1.0	0.8808505101292531	0.8808505101292531	True
117	sub-27	19	REM_to_Wake	10470.0	HB_1_vs_PSG_F3	available	0	0.0	0.9402412623275005	0.9402412623275005	True
118	sub-27	19	REM_to_Wake	16020.0	HB_1_vs_PSG_F3	available	10	10.0	0.7958005689124613	0.7958005689124613	True
119	sub-27	19	REM_to_Wake	21510.0	HB_1_vs_PSG_F3	available	1	1.0	0.8546479566927232	0.8546479566927232	True
120	sub-27	19	REM_to_Wake	28470.0	HB_1_vs_PSG_F3	available	1	1.0	0.9338156358008237	0.9338156358008237	True
121	sub-28	20	REM_to_Wake	19470.0	HB_1_vs_PSG_F3	available	1	1.0	0.5877808735478279	0.5877808735478279	True
122	sub-29	21	REM_to_Wake	25260.0	HB_1_vs_PSG_F3	available	-1	-1.0	0.8356629690185565	0.8356629690185565	True
123	sub-29	21	REM_to_Wake	30060.0	HB_1_vs_PSG_F3	available	1	1.0	0.6548395976599852	0.6548395976599852	True
124	sub-29	21	REM_to_Wake	33120.0	HB_1_vs_PSG_F3	available	1	1.0	0.8815047861186854	0.8815047861186854	True
125	sub-30	94	REM_to_Wake	14130.0	HB_1_vs_PSG_F3	available	-3	-3.0	0.7734870627051865	0.7734870627051865	True
126	sub-30	94	REM_to_Wake	19560.0	HB_1_vs_PSG_F3	available	0	0.0	0.9667365242117508	0.9667365242117508	True
127	sub-30	94	REM_to_Wake	24660.0	HB_1_vs_PSG_F3	available	1	1.0	0.9377874830030417	0.9377874830030417	True
128	sub-32	83	REM_to_Wake	9060.0	HB_1_vs_PSG_F3	available	-2	-2.0	0.8131493070989068	0.8131493070989068	True
129	sub-32	83	Wake_to_REM	9090.0	HB_1_vs_PSG_F3	available	-2	-2.0	0.775487501610982	0.775487501610982	True
130	sub-32	83	REM_to_Wake	9780.0	HB_1_vs_PSG_F3	available	0	0.0	0.8913226848166204	0.8913226848166204	True
131	sub-32	83	Wake_to_REM	9810.0	HB_1_vs_PSG_F3	available	0	0.0	0.9189520392269122	0.9189520392269122	True
132	sub-32	83	REM_to_Wake	20610.0	HB_1_vs_PSG_F3	available	0	0.0	0.8703539960628716	0.8703539960628716	True
133	sub-33	84	REM_to_Wake	6360.0	HB_1_vs_PSG_F3	available	4	4.0	0.7485352957497899	0.7485352957497899	True
