transition_id	subject	pid	transition_type	boundary_onset_sec	headband_start_sample	headband_stop_sample	psg_start_sample	psg_stop_sample	window_sample_count_difference	boundary_sample_difference	sample_alignment_flag
68	sub-16	11	Wake_to_REM	26370.0	6720000	6781440	6720000	6781440	0	0	pass
69	sub-16	11	REM_to_Wake	26790.0	6827520	6888960	6827520	6888960	0	0	pass
70	sub-16	11	Wake_to_REM	26820.0	6835200	6896640	6835200	6896640	0	0	pass
71	sub-16	11	REM_to_Wake	27780.0	7080960	7142400	7080960	7142400	0	0	pass
72	sub-17	92	REM_to_Wake	5670.0	1420800	1482240	1420800	1482240	0	0	pass
73	sub-17	92	REM_to_Wake	11340.0	2872320	2933760	2872320	2933760	0	0	pass
74	sub-17	92	REM_to_Wake	12150.0	3079680	3141120	3079680	3141120	0	0	pass
75	sub-17	92	REM_to_Wake	23520.0	5990400	6051840	5990400	6051840	0	0	pass
76	sub-17	92	Wake_to_REM	23550.0	5998080	6059520	5998080	6059520	0	0	pass
77	sub-17	92	REM_to_Wake	23850.0	6074880	6136320	6074880	6136320	0	0	pass
78	sub-17	92	Wake_to_REM	23880.0	6082560	6144000	6082560	6144000	0	0	pass
79	sub-17	92	REM_to_Wake	24090.0	6136320	6197760	6136320	6197760	0	0	pass
80	sub-17	92	Wake_to_REM	24120.0	6144000	6205440	6144000	6205440	0	0	pass
81	sub-17	92	REM_to_Wake	24180.0	6159360	6220800	6159360	6220800	0	0	pass
82	sub-17	92	REM_to_Wake	24780.0	6312960	6374400	6312960	6374400	0	0	pass
83	sub-17	92	Wake_to_REM	24810.0	6320640	6382080	6320640	6382080	0	0	pass
84	sub-17	92	REM_to_Wake	25110.0	6397440	6458880	6397440	6458880	0	0	pass
85	sub-17	92	REM_to_Wake	29100.0	7418880	7480320	7418880	7480320	0	0	pass
86	sub-17	92	Wake_to_REM	29130.0	7426560	7488000	7426560	7488000	0	0	pass
87	sub-17	92	REM_to_Wake	29160.0	7434240	7495680	7434240	7495680	0	0	pass
88	sub-18	12	REM_to_Wake	6660.0	1674240	1735680	1674240	1735680	0	0	pass
