subject	pid	window_id	window_center_sec	signal_pair	availability	best_lag_samples	best_lag_sec	best_signed_corr	best_abs_corr	usable_for_alignment
sub-33	84	2	7890.299999999999	HB_PULSE_vs_PSG_PULSE	available	10	0.3125	0.8659076150371264	0.8659076150371264	True
sub-33	84	3	13150.5	HB_PULSE_vs_PSG_PULSE	available	12	0.375	0.7502131637307335	0.7502131637307335	True
sub-33	84	4	18410.699999999997	HB_PULSE_vs_PSG_PULSE	available	15	0.46875	0.6159407585148663	0.6159407585148663	True
sub-33	84	5	23670.9	HB_PULSE_vs_PSG_PULSE	available	16	0.5	0.81405258941693	0.81405258941693	True
sub-34	22	1	2818.3	HB_PULSE_vs_PSG_PULSE	available	-226	-7.0625	-0.10703169649681221	0.10703169649681221	False
sub-34	22	2	8454.9	HB_PULSE_vs_PSG_PULSE	available	46	1.4375	0.07961204367669518	0.07961204367669518	False
sub-34	22	3	14091.5	HB_PULSE_vs_PSG_PULSE	available	12	0.375	0.10333017118815578	0.10333017118815578	False
sub-34	22	4	19728.1	HB_PULSE_vs_PSG_PULSE	available	-25	-0.78125	0.4002087085803664	0.4002087085803664	True
sub-34	22	5	25364.7	HB_PULSE_vs_PSG_PULSE	available	10	0.3125	0.9371626230906734	0.9371626230906734	True
sub-35	83	1	2628.1000000000004	HB_PULSE_vs_PSG_PULSE	available	-27	-0.84375	-0.05368594161532631	0.05368594161532631	False
sub-35	83	2	7884.299999999999	HB_PULSE_vs_PSG_PULSE	available	31	0.96875	-0.35222675119856456	0.35222675119856456	True
sub-35	83	3	13140.5	HB_PULSE_vs_PSG_PULSE	available	31	0.96875	-0.39362024396520573	0.39362024396520573	True
sub-35	83	4	18396.699999999997	HB_PULSE_vs_PSG_PULSE	available	-235	-7.34375	-0.1677761716937832	0.1677761716937832	False
sub-35	83	5	23652.9	HB_PULSE_vs_PSG_PULSE	available	-4	-0.125	-0.13354256249973057	0.13354256249973057	False
sub-36	84	1	2685.0	HB_PULSE_vs_PSG_PULSE	available	-5	-0.15625	-0.6143120649114454	0.6143120649114454	True
sub-36	84	2	8055.0	HB_PULSE_vs_PSG_PULSE	available	12	0.375	0.4076654833835411	0.4076654833835411	True
sub-36	84	3	13425.0	HB_PULSE_vs_PSG_PULSE	available	14	0.4375	0.8393843343602997	0.8393843343602997	True
sub-36	84	4	18795.0	HB_PULSE_vs_PSG_PULSE	available	15	0.46875	0.7917155815992435	0.7917155815992435	True
sub-36	84	5	24165.0	HB_PULSE_vs_PSG_PULSE	available	17	0.53125	0.3488922066478605	0.3488922066478605	True
sub-37	86	1	2571.4	HB_PULSE_vs_PSG_PULSE	available	11	0.34375	0.1958881418414486	0.1958881418414486	False
sub-37	86	2	7714.2	HB_PULSE_vs_PSG_PULSE	available	14	0.4375	0.5633672631159163	0.5633672631159163	True
sub-37	86	3	12857.0	HB_PULSE_vs_PSG_PULSE	available	14	0.4375	0.7041301862598189	0.7041301862598189	True
sub-37	86	4	17999.8	HB_PULSE_vs_PSG_PULSE	available	15	0.46875	0.7764995886302566	0.7764995886302566	True
sub-37	86	5	23142.600000000002	HB_PULSE_vs_PSG_PULSE	available	0	0.0	-0.8579321986402693	0.8579321986402693	True
sub-38	87	1	2555.0	HB_PULSE_vs_PSG_PULSE	available	14	0.4375	0.15075466813991154	0.15075466813991154	False
sub-38	87	2	7665.0	HB_PULSE_vs_PSG_PULSE	available	15	0.46875	0.14578208525137032	0.14578208525137032	False
sub-38	87	3	12775.0	HB_PULSE_vs_PSG_PULSE	available	-35	-1.09375	-0.561872968014827	0.561872968014827	True
sub-38	87	4	17885.0	HB_PULSE_vs_PSG_PULSE	available	0	0.0	-0.5150321945488692	0.5150321945488692	True
sub-38	87	5	22995.0	HB_PULSE_vs_PSG_PULSE	available	-35	-1.09375	-0.635813116576374	0.635813116576374	True
sub-39	85	1	2721.3	HB_PULSE_vs_PSG_PULSE	available	-3	-0.09375	-0.5926574215434939	0.5926574215434939	True
sub-39	85	2	8163.9	HB_PULSE_vs_PSG_PULSE	available	11	0.34375	0.6888737812329864	0.6888737812329864	True
sub-39	85	3	13606.5	HB_PULSE_vs_PSG_PULSE	available	12	0.375	0.7295819462246151	0.7295819462246151	True
sub-39	85	4	19049.1	HB_PULSE_vs_PSG_PULSE	available	11	0.34375	0.8847038325461523	0.8847038325461523	True
sub-39	85	5	24491.7	HB_PULSE_vs_PSG_PULSE	available	-85	-2.65625	-0.25430555833667523	0.25430555833667523	True
sub-40	86	1	2500.7000000000003	HB_PULSE_vs_PSG_PULSE	available	23	0.71875	0.6685475994588309	0.6685475994588309	True
sub-40	86	2	7502.099999999999	HB_PULSE_vs_PSG_PULSE	available	15	0.46875	0.17676767359058762	0.17676767359058762	False
