threshold_analysis	label_use	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour	threshold	recordings	pid	reference_events	median_absolute_error_sec	maximum_absolute_error_sec
frozen_inner_selected	inner_only	216	32	177	148	7	629.4916666666667	0.1531100478468899	0.1777777777777777	0.1645244215938303	0.281179258396325	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
pooled_outer_label_oracle	outer_labels_optimistic_not_deployable	318	53	254	127	11	629.4916666666667	0.17263843648208468	0.29444444444444445	0.21765913757700206	0.4035001787156303	0.9859363729567544	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
outer_fold_label_oracle	each_outer_fold_labels_optimistic_not_deployable	243	48	185	132	10	629.4916666666667	0.20600858369098712	0.26666666666666666	0.2324455205811138	0.29388792544248665	not_applicable	82.0	64.0	180.0	0.0	0.0
