score_window	events	above_frozen_threshold	fraction_above_frozen_threshold	median_probability	q25_probability	q75_probability
exact	180	36	0.2	0.892983078956604	0.07154716178774824	0.9931469112634659
plus_minus_30sec	180	41	0.22777777777777777	0.9411019682884216	0.12656321749091143	0.994850218296051
plus_minus_60sec	180	41	0.22777777777777777	0.9473001956939698	0.24362302571535105	0.9951365888118743
plus_minus_90sec	180	42	0.23333333333333334	0.949554979801178	0.2615938484668731	0.9951365888118743
