outer_fold	selected_candidate	frozen_threshold	frozen_f1	frozen_false_alarms_per_hour	outer_label_oracle_threshold	outer_label_oracle_f1	outer_label_oracle_false_alarms_per_hour	f1_optimistic_gap
1	BLSTM-2H	0.9820137900379085	0.176	0.5054691215435831	0.9859363729567544	0.19642857142857142	0.3994836605747673	0.020428571428571435
2	BLSTM-CRF	0.9933071490757152	0.044444444444444446	0.12578616352201258	0.9859363729567544	0.2033898305084746	0.20125786163522014	0.15894538606403014
3	BGRU-CRF	0.991422514586288	0.20930232558139536	0.34955312810327704	0.9933071490757153	0.23076923076923078	0.2859980139026812	0.021466905187835422
4	BGRU-CRF	0.9990889488055994	0.19444444444444445	0.1594734843690672	0.9933071490757153	0.3	0.4404505758764713	0.10555555555555554
5	TCN-CRF	0.991422514586288	0.13114754098360656	0.269179004037685	0.9968273171575148	0.18181818181818182	0.13843491636223804	0.05067064083457526
