subject	pid	comparator	channel	target_snr_db	achieved_snr_db	absolute_snr_error_db	noise_scale	valid_samples	calibration_pass
sub-124	15	H2-BOTH-0DB	HB_2	0.0	1.928654933106574e-15	1.928654933106574e-15	32.65253601247929	3413760	True
sub-124	15	H2-HB1-10DB	HB_1	10.0	10.000000000000002	1.7763568394002505e-15	10.157065823262206	3413760	True
sub-124	15	H2-HB2-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	10.325638518010674	3413760	True
sub-126	106	H2-BOTH-20DB	HB_1	20.0	19.999999999999996	3.552713678800501e-15	7.161599609144241	3344640	True
sub-126	106	H2-BOTH-20DB	HB_2	20.0	20.000000000000004	3.552713678800501e-15	37.100812303363945	3344640	True
sub-126	106	H2-BOTH-10DB	HB_1	10.0	9.999999999999998	1.7763568394002505e-15	22.646966455067425	3344640	True
sub-126	106	H2-BOTH-10DB	HB_2	10.0	10.000000000000004	3.552713678800501e-15	117.32306992102794	3344640	True
sub-126	106	H2-BOTH-0DB	HB_1	0.0	0.0	0.0	71.6159960914424	3344640	True
sub-126	106	H2-BOTH-0DB	HB_2	0.0	1.928654933106574e-15	1.928654933106574e-15	371.00812303363944	3344640	True
sub-126	106	H2-HB1-10DB	HB_1	10.0	9.999999999999998	1.7763568394002505e-15	22.646966455067425	3344640	True
sub-126	106	H2-HB2-10DB	HB_2	10.0	10.000000000000004	3.552713678800501e-15	117.32306992102794	3344640	True
sub-2	89	H2-BOTH-20DB	HB_1	20.0	19.999999999999996	3.552713678800501e-15	4.402890456872102	3505920	True
sub-2	89	H2-BOTH-20DB	HB_2	20.0	20.000000000000004	3.552713678800501e-15	5.0576486902508915	3505920	True
sub-2	89	H2-BOTH-10DB	HB_1	10.0	9.999999999999996	3.552713678800501e-15	13.923162131935197	3505920	True
sub-2	89	H2-BOTH-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	15.993689466160257	3505920	True
sub-2	89	H2-BOTH-0DB	HB_1	0.0	-5.785964799319725e-15	5.785964799319725e-15	44.028904568721025	3505920	True
sub-2	89	H2-BOTH-0DB	HB_2	0.0	-3.857309866213149e-15	3.857309866213149e-15	50.57648690250892	3505920	True
sub-2	89	H2-HB1-10DB	HB_1	10.0	9.999999999999996	3.552713678800501e-15	13.923162131935197	3505920	True
sub-2	89	H2-HB2-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	15.993689466160257	3505920	True
sub-23	15	H2-BOTH-20DB	HB_1	20.0	20.000000000000004	3.552713678800501e-15	3.934059277571436	4296960	True
