comparator	rows	spearman_with_clean	mean_absolute_probability_difference	maximum_absolute_probability_difference	median_probability_shift	threshold_crossing_fraction
H2-BOTH-20DB	19123	0.8403997521120449	0.07048431709252727	0.9998955964703176	-0.003041695307146486	0.06552319196778748
H2-BOTH-10DB	19123	0.7276266862387475	0.12596763087875368	0.9998407156295924	-0.00938993250481887	0.07059561784238874
H2-BOTH-0DB	19123	0.4981775142994613	0.1639660011150352	0.9997592739785534	-0.017592396763343426	0.07258275375202636
H2-HB1-10DB	19123	0.7560968398200925	0.30895950072900563	0.9999983064168172	0.24173012942864175	0.05281598075615751
H2-HB2-10DB	19123	0.6573683535597868	0.16491335729968673	0.9999992724191683	-0.04152767658500485	0.0690268263347801
