comparator	target_snr_db	event_f1	false_alarms_per_hour	spearman_with_clean	mean_absolute_probability_difference
H2-BOTH-20DB	20.0	0.14102564102564102	0.677717931286932	0.8403997521120449	0.07048431709252727
H2-BOTH-10DB	10.0	0.12987012987012986	0.21963081106520946	0.7276266862387475	0.12596763087875368
H2-BOTH-0DB	0.0	0.0	0.012550332060869111	0.4981775142994613	0.1639660011150352
