comparator	comparator_version	partition	epochs	accuracy	balanced_accuracy	macro_f1	cohen_kappa
SF-A	v0.1	train	74012	0.8634275522888181	0.6960756500508433	0.7102580128347681	0.7603865848303143
SF-A	v0.1	validation	17792	0.8780912769784173	0.7181826743544828	0.7468518735015898	0.7809912940248831
SF-A	v0.1	test	23086	0.8718270813480031	0.7063789722260114	0.7247795666258743	0.7862637267602878
