subject	pid	condition	channel	target_snr_db	achieved_snr_db	absolute_snr_error_db	noise_scale	valid_samples	calibration_pass
sub-15	10	TRAIN-BOTH-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	30.156554420614103	4197120	True
sub-15	10	TRAIN-HB1-10DB	HB_1	10.0	10.000000000000009	8.881784197001252e-15	26.0070286043768	4197120	True
sub-15	10	TRAIN-HB2-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	30.156554420614103	4197120	True
sub-16	11	TRAIN-BOTH-20DB	HB_1	20.0	19.999999999999996	3.552713678800501e-15	10.288213637116135	3928320	True
sub-16	11	TRAIN-BOTH-20DB	HB_2	20.0	19.999999999999996	3.552713678800501e-15	9.362200626074335	3928320	True
sub-16	11	TRAIN-BOTH-10DB	HB_1	10.0	9.999999999999996	3.552713678800501e-15	32.534188147692014	3928320	True
sub-16	11	TRAIN-BOTH-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	29.605877889849285	3928320	True
sub-16	11	TRAIN-HB1-10DB	HB_1	10.0	9.999999999999996	3.552713678800501e-15	32.534188147692014	3928320	True
sub-16	11	TRAIN-HB2-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	29.605877889849285	3928320	True
sub-17	92	TRAIN-BOTH-20DB	HB_1	20.0	19.999999999999996	3.552713678800501e-15	3.8539091931602334	3767040	True
sub-17	92	TRAIN-BOTH-20DB	HB_2	20.0	19.999999999999996	3.552713678800501e-15	7.672847023984671	3767040	True
sub-17	92	TRAIN-BOTH-10DB	HB_1	10.0	9.999999999999996	3.552713678800501e-15	12.187130945848148	3767040	True
sub-17	92	TRAIN-BOTH-10DB	HB_2	10.0	10.000000000000004	3.552713678800501e-15	24.263672733836156	3767040	True
sub-17	92	TRAIN-HB1-10DB	HB_1	10.0	9.999999999999996	3.552713678800501e-15	12.187130945848148	3767040	True
sub-17	92	TRAIN-HB2-10DB	HB_2	10.0	10.000000000000004	3.552713678800501e-15	24.263672733836156	3767040	True
sub-19	93	TRAIN-BOTH-20DB	HB_1	20.0	20.000000000000007	7.105427357601002e-15	15.210453385826462	3886080	True
sub-19	93	TRAIN-BOTH-20DB	HB_2	20.0	19.999999999999996	3.552713678800501e-15	13.103474466210066	3886080	True
sub-19	93	TRAIN-BOTH-10DB	HB_1	10.0	10.000000000000004	3.552713678800501e-15	48.099676943031504	3886080	True
sub-19	93	TRAIN-BOTH-10DB	HB_2	10.0	9.999999999999996	3.552713678800501e-15	41.436824575082866	3886080	True
sub-19	93	TRAIN-HB1-10DB	HB_1	10.0	10.000000000000004	3.552713678800501e-15	48.099676943031504	3886080	True
sub-19	93	TRAIN-HB2-10DB	HB_2	10.0	9.999999999999996	3.552713678800501e-15	41.436824575082866	3886080	True
