subject	pid	timing_and_stage_match	feature_schema_match	maximum_absolute_feature_difference	tolerance	reproduction_pass	source_feature_sha256
sub-69	34	True	True	1.1917297326746734e-07	1e-06	True	543a46ee2d0e16de725451ee13984f7d200071784d3b4fae0291f942f4ab149b
sub-70	35	True	True	1.1918963371826408e-07	1e-06	True	50e73bc50262bef281891e1d98dc779947e37e3c683487b5a618305d88d7dcfa
sub-71	36	True	True	4.465717378110412e-07	1e-06	True	39bf31a6482dbb5a8b775e73894c8329914575ab61407b65faaa5f2db6bb50ab
sub-73	38	True	True	1.1920240972074225e-07	1e-06	True	7b9febcf257c4a343c01a8960c736642dc8b56c44b6e93ebf9a34ba5bdfe7065
sub-74	39	True	True	1.1917567510622007e-07	1e-06	True	148b6a65ff7c0ceb5f9e22ab5aa58932e7ef3496bf3a4cd43d373b47000e903d
sub-77	42	True	True	4.4824811062937897e-07	1e-06	True	af99a3985d4dbd05374e8ce4b3c88d0d16a25b7d6b5c8ab9fdb1924ddc16c960
sub-78	43	True	True	4.549152645694221e-07	1e-06	True	3ff379b896ef6340d0008312fb385cc4b948ccc0a88c92052f3d25e739c11b68
sub-80	45	True	True	1.191668896893816e-07	1e-06	True	2307698fa4c1a37ccd5bda829bd1780c4c1fa241b9abd884bc979138edb99d40
sub-81	46	True	True	1.1917064579591852e-07	1e-06	True	7459bb000bfba77df4a555356904f83693c91aca0430aa0a6cb3e6e082e8f580
sub-83	50	True	True	1.1916424824676142e-07	1e-06	True	0c001de9f52a59dbd139a381442111216fac7dff81927a7faf6164006ed8595e
sub-84	51	True	True	2.5930021330111686e-07	1e-06	True	dbd5ee1a3de02641a5d0183a6ec775e0d9d7d5947faf84934575e7d2e5293c6b
sub-86	53	True	True	1.1915893738390082e-07	1e-06	True	ea4dcff54f3712a764b3cd981baa6cfe3dc6e74580cb558b298102560296580d
sub-87	54	True	True	2.383928991989137e-07	1e-06	True	a3af441a3c325e0e54498eab268d377b4141ca740ef1ab1417f2a46e12a90cea
sub-91	58	True	True	1.1918014664047405e-07	1e-06	True	0869ab6b27e3837364849250a6c5a54dcb87305c4add64dfe2cf7966ca5c2da9
sub-92	59	True	True	1.1920593445680083e-07	1e-06	True	de6c147b03b3dbc2d4b2b5a145b2121459c2e938bc54896e71ee369ee2a73cbe
sub-93	60	True	True	1.1910683239690911e-07	1e-06	True	12334c7733906f116a1ef296b401d2bb9e60a6dc507a7db5e4ef297a088700ba
sub-94	61	True	True	4.766198813399569e-07	1e-06	True	1665865480e9c54d01de822ed155680d454ff472f63b7913c3ed6ddfc5c6398b
sub-95	62	True	True	1.1916056186223045e-07	1e-06	True	9d7440b09e577bcef49fca47a27cbe8f8d3578216b49ace1967973834de19515
sub-96	63	True	True	4.33695765522657e-07	1e-06	True	ff5936e51d7bf905ab35cd9f8c0cec9cd57c934ad180c8f6fceece6c8045a923
sub-98	65	True	True	1.1920145093213819e-07	1e-06	True	b0d812db8b1653e12e6526bba351253538b2a75963578073d3dd7d1c17b37fcd
sub-99	66	True	True	4.0665438483245e-07	1e-06	True	d1bba5b3b30d09b2cebefc56ee12ec843686a27a4eb78ca9532acfe20f7790f3
sub-100	67	True	True	1.1919489972811448e-07	1e-06	True	96c139a0e230179c3873f54363c716ee6b4c6f730c44f31dbcdb8bc9c8ac3e11
sub-101	68	True	True	1.1920027365164287e-07	1e-06	True	35404e0103d0092c7113c4b817adb46980fca6153ad8a73c9275b9f8dfdd1f48
sub-103	71	True	True	1.1912957198489948e-07	1e-06	True	3f6afb7d94b997ffb979dfd752198915a2d723544de51deb89620cd8dda1ce38
sub-104	72	True	True	1.1918435482982659e-07	1e-06	True	8f9c6fcc7db53f28a629e109d086ca8cc11610c4b4c1a73d097fe664dca21450
sub-107	75	True	True	1.1913963771092995e-07	1e-06	True	805166f7cd43b78389a3591405203da3aca4d138896fc661b6acb3c3fd5c09eb
sub-108	76	True	True	1.1920824016797837e-07	1e-06	True	9e73cee34a250b6f119d501a957d217e839177119fcadf7e311b2ffb0e60b8ca
sub-109	96	True	True	1.1920454934255531e-07	1e-06	True	4052d77a79ab98f02f89cd14f98eb0fcaa2fd1c675c05ce5123a5af7615031dc
sub-110	96	True	True	2.3532131976367054e-07	1e-06	True	d3516c84e547dcf2321a6c21075e5277f1b199ba9068bf25e938d29542f516fa
sub-111	96	True	True	1.1918689546419614e-07	1e-06	True	a85229967fe6b75e36f61f69ac9bb03fa324bc8c017f329848550e9bcb19bd75
sub-115	98	True	True	1.192013390216573e-07	1e-06	True	bd24c5f813f351f7e2ecf5c9c83962c4461e83b37cfdcbdde634e7c5f0532bda
sub-116	98	True	True	1.192016454432121e-07	1e-06	True	3c9cb926879d1fd27d7714017506f11aa7195a81d189285c7f7d0a0f738eb69d
sub-117	98	True	True	2.2080291017800846e-07	1e-06	True	e2e468903cb50ba5e54c6465f7ed1ad7d3957779bd846e465f39e03b22ba7b0b
sub-118	99	True	True	1.191212319895385e-07	1e-06	True	9394a3e0062e36aa19b3c58e122d9d28e0abffe4fca8d0965768bcc82b0215fe
sub-119	99	True	True	1.1919186393427594e-07	1e-06	True	efde2a4f99329cebf0280a7867d594946b95a4996e5f41a00174b27f49feb28d
sub-120	99	True	True	1.1915151221231213e-07	1e-06	True	8be9bb74a169f6bd4a4f6fb68f431640d46410b8a6c6fb55c8554dcdd195d2e7
sub-121	100	True	True	1.1913104414063014e-07	1e-06	True	a82da623b44f4ef2198b905542236cf3c9bc5828f35a947b8a5691ec92ccdd2d
sub-122	101	True	True	1.191816365597731e-07	1e-06	True	a8697f46a9ae17ff080f2d3f42326999e26448c442fb6478dcd69ea86b5df1bf
sub-125	104	True	True	1.1917355990931355e-07	1e-06	True	4b4265ed570c7f1c3a21f73c533f7ffdd9d297053401703aaeb6128d4776ad08
sub-128	108	True	True	1.1920140075005747e-07	1e-06	True	35f68bef2c4f768e4e4f71eac0f27fa11995eed56b6f03abae40ea2f43d9f0e0
