quality_version	subject	participant_id	pid	transition_include	background_include	transition_include_mad_sensitivity	background_include_mad_sensitivity	transition_review_targeted	background_review_targeted	transition_exclude_critical	background_exclude_critical	incomplete_transition_windows	new_critical_exclusions_v0.3
v0.3	sub-84	sub-84	51	1	12	0	17	0	0	0	0	0	0
v0.3	sub-85	sub-85	52	0	24	5	11	0	2	0	0	0	0
v0.3	sub-86	sub-86	53	0	32	0	4	0	0	0	0	0	0
v0.3	sub-87	sub-87	54	1	24	0	5	1	2	0	0	0	0
v0.3	sub-88	sub-88	55	0	14	0	12	0	1	0	0	0	0
v0.3	sub-89	sub-89	56	0	17	0	13	0	9	0	0	0	0
v0.3	sub-90	sub-90	57	3	8	4	19	0	0	0	0	0	0
v0.3	sub-91	sub-91	58	5	32	3	4	0	0	0	0	0	0
v0.3	sub-92	sub-92	59	2	22	3	11	0	0	0	0	0	0
v0.3	sub-93	sub-93	60	0	27	4	8	0	0	0	0	0	0
v0.3	sub-94	sub-94	61	0	11	0	15	2	5	0	0	0	0
v0.3	sub-95	sub-95	62	4	15	2	19	2	3	0	0	0	0
v0.3	sub-96	sub-96	63	0	23	5	7	0	0	0	0	0	0
v0.3	sub-97	sub-97	64	3	16	5	12	0	0	0	0	0	0
v0.3	sub-98	sub-98	65	0	19	12	12	0	0	0	0	0	0
v0.3	sub-99	sub-99	66	0	21	0	12	0	1	0	0	0	0
v0.3	sub-100	sub-100	67	0	16	5	11	2	0	0	0	0	0
v0.3	sub-101	sub-101	68	2	22	6	11	0	0	0	0	0	0
v0.3	sub-102	sub-102	69	0	17	4	9	0	0	0	0	0	0
v0.3	sub-103	sub-103	71	0	16	0	20	0	2	0	0	0	0
v0.3	sub-104	sub-104	72	0	32	1	5	1	0	0	0	0	0
v0.3	sub-105	sub-105	73	1	29	2	8	0	0	0	0	0	0
v0.3	sub-106	sub-106	74	0	22	2	16	0	0	0	0	0	0
v0.3	sub-107	sub-107	75	0	24	1	15	0	0	0	0	0	0
v0.3	sub-108	sub-108	76	0	37	2	4	1	0	0	0	0	0
v0.3	sub-109	sub-109	96	4	27	2	9	0	0	0	0	0	0
v0.3	sub-110	sub-110	96	0	15	0	3	4	18	0	0	0	0
v0.3	sub-111	sub-111	96	4	18	2	5	0	9	0	0	0	0
v0.3	sub-112	sub-112	97	2	21	2	6	0	0	0	0	0	0
v0.3	sub-113	sub-113	97	1	20	2	7	0	0	0	0	0	0
v0.3	sub-114	sub-114	97	0	22	1	8	0	0	0	0	0	0
v0.3	sub-115	sub-115	98	1	23	0	6	0	0	0	0	0	0
v0.3	sub-116	sub-116	98	0	20	1	6	2	2	0	0	0	0
v0.3	sub-117	sub-117	98	3	9	4	12	1	7	0	0	0	0
v0.3	sub-118	sub-118	99	0	22	3	7	0	2	0	0	0	0
v0.3	sub-119	sub-119	99	0	15	3	13	0	0	0	0	0	0
v0.3	sub-120	sub-120	99	2	26	2	8	0	0	1	0	1	0
v0.3	sub-121	sub-121	100	0	20	0	12	1	2	0	0	0	0
v0.3	sub-122	sub-122	101	0	25	0	9	0	0	0	0	0	0
v0.3	sub-123	sub-123	102	0	19	3	18	0	0	0	0	0	0
v0.3	sub-124	sub-124	15	1	24	5	4	0	0	0	0	0	0
v0.3	sub-125	sub-125	104	0	18	3	9	0	0	0	0	0	0
v0.3	sub-126	sub-126	106	0	15	1	20	7	2	0	0	0	0
v0.3	sub-127	sub-127	107	0	20	1	19	0	0	0	0	0	0
v0.3	sub-128	sub-128	108	1	29	0	10	0	0	0	0	0	0
