model	partition	membership	tolerance_sec	threshold	recordings	pid	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour	median_absolute_error_sec	maximum_absolute_error_sec
LR-OOF	train_oof	primary	15.0	0.98	82	64	180	1006	57	924	123	25	629.4916666666667	0.0581039755351682	0.31666666666666665	0.09819121447028424	1.4678510438316632	0.0	0.0
LR-OOF	train_oof	primary	45.0	0.98	82	64	180	1006	67	904	113	35	629.4916666666667	0.0690010298661174	0.37222222222222223	0.11642050390964379	1.4360793762162591	0.0	30.0
LR-OOF	train_oof	expanded	15.0	0.98	82	64	227	1006	82	924	145	0	629.4916666666667	0.08151093439363817	0.36123348017621143	0.1330089213300892	1.4678510438316632	0.0	0.0
LR-OOF	train_oof	expanded	45.0	0.98	82	64	227	1006	101	904	126	1	629.4916666666667	0.10049751243781095	0.44493392070484583	0.16396103896103897	1.4360793762162591	0.0	30.0
LC-1	train_oof	primary	15.0	0.99	82	64	180	400	56	334	124	10	629.4916666666667	0.14358974358974358	0.3111111111111111	0.19649122807017544	0.5305868491772462	0.0	0.0
LC-1	train_oof	primary	45.0	0.99	82	64	180	400	73	314	107	13	629.4916666666667	0.18863049095607234	0.40555555555555556	0.25749559082892415	0.49881518156184224	0.0	30.0
LC-1	train_oof	expanded	15.0	0.99	82	64	227	400	66	334	161	0	629.4916666666667	0.165	0.2907488986784141	0.21052631578947367	0.5305868491772462	0.0	0.0
LC-1	train_oof	expanded	45.0	0.99	82	64	227	400	86	314	141	0	629.4916666666667	0.215	0.3788546255506608	0.2743221690590112	0.49881518156184224	0.0	30.0
