model	partition	membership	tolerance_sec	threshold	pid	recordings	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
LC-1	train_oof	expanded	45.0	0.99	87	3	1	18	0	18	1	0	20.333333333333336	0.0	0.0	0.0	0.8852459016393441
LC-1	train_oof	expanded	45.0	0.99	91	2	0	2	0	2	0	0	16.46666666666667	0.0		0.0	0.12145748987854249
LC-1	train_oof	expanded	45.0	0.99	92	2	20	35	10	25	10	0	16.325000000000003	0.2857142857142857	0.5	0.36363636363636365	1.5313935681470134
LC-1	train_oof	expanded	45.0	0.99	93	2	3	1	0	1	3	0	17.008333333333333	0.0	0.0	0.0	0.05879470847623714
LC-1	train_oof	expanded	45.0	0.99	94	1	3	3	1	2	2	0	6.891666666666667	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.29020556227327693
LC-1	train_oof	expanded	45.0	0.99	95	1	0	2	0	2	0	0	7.025	0.0		0.0	0.2846975088967971
LC-1	train_oof	expanded	45.0	0.99	96	3	14	1	1	0	13	0	22.8	1.0	0.07142857142857142	0.13333333333333333	0.0
LC-1	train_oof	expanded	45.0	0.99	98	3	8	3	0	3	8	0	20.616666666666667	0.0	0.0	0.0	0.14551333872271624
LC-1	train_oof	expanded	45.0	0.99	99	3	7	10	5	5	2	0	21.2	0.5	0.7142857142857143	0.5882352941176471	0.2358490566037736
LC-1	train_oof	expanded	45.0	0.99	100	1	1	0	0	0	1	0	7.383333333333334		0.0	0.0	0.0
LC-1	train_oof	expanded	45.0	0.99	101	1	0	0	0	0	0	0	7.241666666666666				0.0
LC-1	train_oof	expanded	45.0	0.99	104	1	3	11	2	9	1	0	8.008333333333333	0.18181818181818182	0.6666666666666666	0.2857142857142857	1.1238293444328824
LC-1	train_oof	expanded	45.0	0.99	108	1	1	4	0	4	1	0	6.716666666666667	0.0	0.0	0.0	0.5955334987593052
