hypothesis	f1_difference	required_f1_difference	false_alarms_per_hour_difference	maximum_far_difference	supported	decision
H-LC1_meaningful_temporal_advancement	0.0983000135998912	0.05	-0.937264194654417	0.0	True	eligible_for_new_confirmation
participant_interval_support	0.0983000135998912	0.0	-0.937264194654417	0.0	True	participant_supported
