label_version	pid	subjects	subject_count	transition_subject_count	background_subject_count	primary_rem_to_wake_labels	secondary_wake_to_rem_labels	transition_windows_include	transition_windows_review	background_review_windows	strict_background_review_windows	nontarget_background_review_windows	background_windows_include	background_windows_review	has_repeated_recordings	split_readiness_status
v0.1	73	sub-105	1	1	1	3	0	3	0	37	8	29	37	0	False	positive_and_background_available
v0.1	74	sub-106	1	1	1	1	1	2	0	38	8	30	38	0	False	positive_and_background_available
v0.1	75	sub-107	1	1	1	1	0	1	0	39	8	31	39	0	False	positive_and_background_available
v0.1	76	sub-108	1	1	1	2	1	3	0	41	8	33	41	0	False	positive_and_background_available
v0.1	77	sub-55;sub-57	2	2	2	8	2	10	0	75	16	59	75	0	True	positive_and_background_available
v0.1	78	sub-56;sub-58	2	2	2	11	7	18	0	71	14	57	71	0	True	positive_and_background_available
v0.1	79	sub-59;sub-61	2	2	2	10	6	16	0	74	16	58	74	0	True	positive_and_background_available
v0.1	80	sub-60;sub-62	2	1	2	2	0	2	0	74	18	56	74	0	True	positive_and_background_available
v0.1	81	sub-63;sub-65	2	2	2	2	0	2	0	74	16	58	74	0	True	positive_and_background_available
v0.1	82	sub-64;sub-66	2	2	2	4	1	5	0	73	14	59	73	0	True	positive_and_background_available
v0.1	83	sub-32;sub-35;sub-41	3	2	3	8	3	11	0	89	18	71	89	0	True	positive_and_background_available
v0.1	84	sub-33;sub-36;sub-42	3	3	3	21	3	24	0	82	18	64	82	0	True	positive_and_background_available
v0.1	85	sub-39	1	1	1	1	0	1	0	36	8	28	36	0	False	positive_and_background_available
v0.1	86	sub-37;sub-40	2	2	2	6	0	6	0	60	12	48	60	0	True	positive_and_background_available
v0.1	87	sub-38;sub-43;sub-47	3	2	3	2	0	2	0	83	18	65	83	0	True	positive_and_background_available
v0.1	88	sub-50;sub-53;sub-54	3	3	3	8	4	12	0	91	18	73	91	0	True	positive_and_background_available
v0.1	89	sub-1;sub-2	2	2	2	12	2	14	0	78	16	62	78	0	True	positive_and_background_available
v0.1	90	sub-9	1	1	1	1	0	1	0	39	10	29	39	0	False	positive_and_background_available
v0.1	91	sub-10;sub-13	2	0	2	0	0	0	0	76	17	59	76	0	True	background_only
v0.1	92	sub-12;sub-17	2	2	2	20	7	27	0	64	12	52	64	0	True	positive_and_background_available
v0.1	93	sub-19;sub-21	2	2	2	3	0	3	0	73	16	57	73	0	True	positive_and_background_available
v0.1	94	sub-30	1	1	1	3	0	3	0	31	6	25	31	0	False	positive_and_background_available
v0.1	95	sub-31	1	0	1	0	0	0	0	29	6	23	29	0	False	background_only
v0.1	96	sub-109;sub-110;sub-111	3	3	3	14	2	16	0	104	22	82	104	0	True	positive_and_background_available
v0.1	97	sub-112;sub-113;sub-114	3	3	3	6	2	8	0	84	18	66	84	0	True	positive_and_background_available
v0.1	98	sub-115;sub-116;sub-117	3	3	3	8	4	12	0	85	20	65	85	0	True	positive_and_background_available
v0.1	99	sub-118;sub-119;sub-120	3	3	3	8	3	11	0	93	14	79	93	0	True	positive_and_background_available
v0.1	100	sub-121	1	1	1	1	0	1	0	34	7	27	34	0	False	positive_and_background_available
v0.1	101	sub-122	1	0	1	0	0	0	0	34	6	28	34	0	False	background_only
v0.1	102	sub-123	1	1	1	2	1	3	0	37	8	29	37	0	False	positive_and_background_available
v0.1	104	sub-125	1	1	1	3	0	3	0	27	6	21	27	0	False	positive_and_background_available
v0.1	106	sub-126	1	1	1	6	2	8	0	37	8	29	37	0	False	positive_and_background_available
v0.1	107	sub-127	1	1	1	1	0	1	0	39	8	31	39	0	False	positive_and_background_available
v0.1	108	sub-128	1	1	1	1	0	1	0	39	6	33	39	0	False	positive_and_background_available
