split_version	trial	score
v0.1	6568	0.7927473629989485
v0.1	6293	0.9585390813325518
v0.1	24674	0.9968939225669826
v0.1	37913	1.0411584979245367
v0.1	5399	1.04202872034778
v0.1	44612	1.1043879420169476
v0.1	10642	1.1342066800213395
v0.1	27905	1.1517021466065558
v0.1	11735	1.1724117507983294
v0.1	12918	1.180500647343834
v0.1	24066	1.1973253563620232
v0.1	43369	1.2023023369357468
v0.1	31691	1.216310379357838
v0.1	20620	1.2431451714872461
v0.1	44555	1.245200508844792
v0.1	43050	1.2674790336680162
v0.1	41878	1.268116873474152
v0.1	42739	1.2811606251585475
v0.1	38261	1.2877109883291986
v0.1	23090	1.2906732935060592
