preprocessing_version	fit_partition	channel	subsample_frequency_hz	samples_used	median_uv	mad_uv	robust_scale_uv
v0.1	train	HB_1	1.0	2298070	0.07926926959250419	8.643662434074535	12.815093924758905
v0.1	train	HB_2	1.0	2298070	0.11473382045833058	9.404624666637428	13.94329653075665
