preprocessing_version	frequency_hz	single_pass_gain	forward_backward_gain	forward_backward_db
v0.1	0.05	0.0007477487391532268	5.591281769052404e-07	-125.04977242396917
v0.1	0.1	0.011995253442284724	0.0001438861051446435	-76.8396228635011
v0.1	0.3	0.7071067811809569	0.4999999999920937	-6.020599913416969
v0.1	1.0	0.9999834518948678	0.9999669040635754	-0.0002874724083633821
v0.1	10.0	0.999994240184304	0.9999884804017836	-0.0001000585351009836
v0.1	35.0	0.7071067811865471	0.49999999999999944	-6.020599913279634
v0.1	50.0	0.1729465719226191	0.029910516739785665	-30.4835216789932
v0.1	64.0	0.04286498733799916	0.001837407139486828	-54.71589200898449
