outer_fold	inner_fold	phase	fit	seed	fit_rows	fit_positive	fit_negative	positive_weight	trainable_parameters	epochs_completed	first_epoch_loss	final_epoch_loss	maximum_preclip_gradient_norm
1	2	inner_2	outer_1_inner_2	20261045	1638	99	1539	15.545454545454545	67697	30	1.1875988795207097	0.01763141921793039	177.84242248535156
1	3	inner_3	outer_1_inner_3	20261055	1638	95	1543	16.242105263157896	67697	30	1.1846356758704553	0.011394676609108081	197.47447204589844
1	4	inner_4	outer_1_inner_4	20261065	1636	84	1552	18.476190476190474	67697	30	1.2393646927980275	0.016660957597196102	115.75570678710938
1	5	inner_5	outer_1_inner_5	20261075	1658	106	1552	14.641509433962264	67697	30	1.2695845182125385	0.0839160279585765	182.85386657714844
1	9	outer_final	outer_1_outer_final	20261115	2190	128	2062	16.109375	67697	30	1.0620036754343245	0.04665019275206658	422.6791687011719
2	1	inner_1	outer_2_inner_1	20261135	1638	99	1539	15.545454545454545	67697	30	1.2061316416813777	0.006381301782452143	111.48020935058594
2	3	inner_3	outer_2_inner_3	20261155	1639	118	1521	12.889830508474576	67697	30	1.2446278379513667	0.04935582784505991	115.92472839355469
2	4	inner_4	outer_2_inner_4	20261165	1637	107	1530	14.299065420560748	67697	30	1.155663196857159	0.016953148520909823	94.91548156738281
2	5	inner_5	outer_2_inner_5	20261175	1659	129	1530	11.86046511627907	67697	30	1.0365824424303496	0.010510508615810137	122.45063018798828
2	9	outer_final	outer_2_outer_final	20261215	2191	151	2040	13.509933774834437	67697	30	1.1394434604379866	0.05772395069814391	130.482666015625
3	1	inner_1	outer_3_inner_1	20261235	1638	95	1543	16.242105263157896	67697	30	1.2716319606854365	0.05422431431137598	131.43679809570312
3	2	inner_2	outer_3_inner_2	20261245	1639	118	1521	12.889830508474576	67697	30	1.1346139449339647	0.10432151683534567	104.09292602539062
3	4	inner_4	outer_3_inner_4	20261265	1637	103	1534	14.893203883495145	67697	30	1.2459908494582543	0.06182042194100527	128.5568084716797
3	5	inner_5	outer_3_inner_5	20261275	1659	125	1534	12.272	67697	30	1.1942727611615107	0.023613162625294466	111.373291015625
3	9	outer_final	outer_3_outer_final	20261315	2191	147	2044	13.904761904761905	67697	30	1.0295261806911893	0.054170043388795525	116.86805725097656
4	1	inner_1	outer_4_inner_1	20261335	1636	84	1552	18.476190476190474	67697	30	1.0914576695515559	0.007378211244940758	176.8684539794922
4	2	inner_2	outer_4_inner_2	20261345	1637	107	1530	14.299065420560748	67697	30	1.2188534828332753	0.03355206778416267	159.33493041992188
4	3	inner_3	outer_4_inner_3	20261355	1637	103	1534	14.893203883495145	67697	30	1.2125771045684814	0.043903217292748965	81.55852508544922
4	5	inner_5	outer_4_inner_5	20261375	1657	114	1543	13.535087719298245	67697	30	1.1913910783254182	0.025664739955503207	88.42295837402344
4	9	outer_final	outer_4_outer_final	20261415	2189	136	2053	15.095588235294118	67697	30	1.247465471426646	0.03807750209752056	390.3028869628906
5	1	inner_1	outer_5_inner_1	20261435	1658	106	1552	14.641509433962264	67697	30	1.1095653543105493	0.020592356817080423	114.87123107910156
5	2	inner_2	outer_5_inner_2	20261445	1659	129	1530	11.86046511627907	67697	30	1.1909373631844153	0.05715151854719107	128.03143310546875
5	3	inner_3	outer_5_inner_3	20261455	1659	125	1534	12.272	67697	30	1.2448087563881507	0.04354320337566046	96.57206726074219
5	4	inner_4	outer_5_inner_4	20261465	1657	114	1543	13.535087719298245	67697	30	1.179349931386801	0.05864037773930109	200.81578063964844
5	9	outer_final	outer_5_outer_final	20261515	2211	158	2053	12.99367088607595	67697	30	1.116141723261939	0.044349444874872766	126.86371612548828
