comparison	metric	point_difference	resamples	seed	lower_95	median	upper_95
SPECTRAL-UNET_minus_NESTED-BLSTM-CRF	event_f1_difference	-0.021471914228407468	2000	20260925	-0.07742508052764181	-0.019541488035681995	0.04437371028485515
SPECTRAL-UNET_minus_NESTED-BLSTM-CRF	false_alarms_per_hour_difference	0.4384490130925747	2000	20260925	0.29188105983397206	0.43262918557188595	0.6192231404063784
