pipeline	partition	membership	tolerance_sec	recordings	pid	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour	median_absolute_error_sec	maximum_absolute_error_sec
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	82	64	180	227	32	187	148	8	629.4916666666667	0.1461187214611872	0.17777777777777778	0.16040100250626566	0.29706509220402705	0.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	45.0	82	64	180	227	46	171	134	10	629.4916666666667	0.2119815668202765	0.25555555555555554	0.23173803526448364	0.2716477581117039	0.0	30.0
NESTED-BLSTM-CRF	train_nested_oof	expanded	15.0	82	64	227	227	40	187	187	0	629.4916666666667	0.1762114537444934	0.1762114537444934	0.1762114537444934	0.29706509220402705	0.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	expanded	45.0	82	64	227	227	56	171	171	0	629.4916666666667	0.24669603524229075	0.24669603524229075	0.24669603524229075	0.2716477581117039	0.0	30.0
SPECTRAL-UNET	train_nested_oof	primary	15.0	82	64	180	522	48	463	132	11	629.4916666666667	0.09393346379647749	0.26666666666666666	0.1389290882778582	0.7355141052966018	0.0	0.0
SPECTRAL-UNET	train_nested_oof	primary	45.0	82	64	180	522	59	448	121	15	629.4916666666667	0.11637080867850098	0.3277777777777778	0.1717612809315866	0.7116853545850488	0.0	30.0
SPECTRAL-UNET	train_nested_oof	expanded	15.0	82	64	227	522	59	463	168	0	629.4916666666667	0.11302681992337164	0.2599118942731278	0.157543391188251	0.7355141052966018	0.0	0.0
SPECTRAL-UNET	train_nested_oof	expanded	45.0	82	64	227	522	74	448	153	0	629.4916666666667	0.1417624521072797	0.32599118942731276	0.19759679572763686	0.7116853545850488	0.0	30.0
