transition_id	transition	boundary_onset_sec	source	channel	window_start_sec	window_end_sec	window_seconds	sfreq_hz	expected_samples	actual_samples	finite_fraction	missing_samples	min_value	p01_value	median_value	p99_value	max_value	peak_to_peak	std	mad	outlier_fraction_10mad	low_diff_fraction	quality_flag
1	REM_to_Wake	1620.0	headband	HB_1	1500.0	1740.0	240.0	256.0	61440	61440	1.0	0	-0.00015010299839780287	-5.741451132982395e-05	3.204394598304257e-07	7.177294575417717e-05	0.00015577935454337354	0.00030588235294117644	2.025843809949239e-05	8.056763561455709e-06	0.013590494791666666	0.0199873044808672	pass_basic
1	REM_to_Wake	1620.0	headband	HB_2	1500.0	1740.0	240.0	256.0	61440	61440	1.0	0	-0.0001960631723506525	-7.6310368505379e-05	7.782101167313183e-07	6.742961776150129e-05	0.00015193408102540606	0.0003479972533760586	2.391567297885073e-05	9.430075532158388e-06	0.013118489583333334	0.018343397516235614	pass_basic
1	REM_to_Wake	1620.0	headband	HB_PULSE	1500.0	1740.0	240.0	256.0	61440	61440	1.0	0	-5.473220416571309	-1.5548180361638944	-0.014305333028165338	1.7287136644540992	6.342984664682981	11.81620508125429	0.7074553915538088	0.38338292515449757	0.0057942708333333336	0.21291036637966113	pass_basic
1	REM_to_Wake	1620.0	psg	PSG_F3	1500.0	1740.0	240.0	256.0	61440	61440	1.0	0	-0.0010667048367742425	-0.001036366256159609	-0.0010129568286869608	-0.0009921253025711447	-0.0009694242805218582	9.728055625238426e-05	8.397110538163168e-06	4.807275257495951e-06	0.0005696614583333334	0.016780872084506585	pass_basic
1	REM_to_Wake	1620.0	psg	PSG_F4	1500.0	1740.0	240.0	256.0	61440	61440	1.0	0	-0.001010204465552758	-0.0009783758426794842	-0.0009532010482948043	-0.0009156103471427481	-0.0008815180506599528	0.00012868641489280526	1.0574119478166087e-05	5.5562897688257815e-06	0.0008463541666666667	0.016373964419993815	pass_basic
1	REM_to_Wake	1620.0	psg	PSG_C3	1500.0	1740.0	240.0	256.0	61440	61440	1.0	0	-7.729610131990539e-05	-4.9658960860608836e-05	-3.564507515068284e-06	6.758989852750444e-05	0.00011987487602044708	0.00019717097734035246	1.651649924114795e-05	6.445410849164568e-06	0.011360677083333333	0.021582382525757254	pass_basic
1	REM_to_Wake	1620.0	psg	PSG_C4	1500.0	1740.0	240.0	256.0	61440	61440	1.0	0	-0.0009886031918059056	-0.000968533949599451	-0.0009481210559853517	-0.0009242029180132757	-0.0009035838335545895	8.501935825131607e-05	8.333829321928096e-06	4.811119707026808e-06	0.0	0.017871384625400805	pass_basic
1	REM_to_Wake	1620.0	psg	PSG_O1	1500.0	1740.0	240.0	256.0	61440	61440	1.0	0	-9.047989623865111e-05	-5.899601739528496e-05	-2.490272373540856e-06	8.161452658884577e-05	0.00012358587014572365	0.00021406576638437476	1.7735792471425638e-05	5.859464408331426e-06	0.022574869791666667	0.0236169208483211	pass_basic
1	REM_to_Wake	1620.0	psg	PSG_O2	1500.0	1740.0	240.0	256.0	61440	61440	1.0	0	-0.0013717261448508429	-0.0013571930285328144	-0.0013431575945006484	-0.0013255856686900129	-0.0013106778735667963	6.104827128404662e-05	5.536809626657806e-06	3.0042324773021933e-06	0.00022786458333333334	0.022379921548202283	pass_basic
1	REM_to_Wake	1620.0	psg	PSG_EOG	1500.0	1740.0	240.0	256.0	61440	61440	1.0	0	-0.00013089374482337695	6.838649547569989e-05	0.00020624498934920256	0.0003350109863028915	0.0005346757396353091	0.000665569484458686	4.0572779879601264e-05	1.0463914793621738e-05	0.03675130208333333	0.03099008772929247	pass_basic
