outer_fold	candidate	threshold	recordings	pid	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
1	BLSTM-CRF	0.01	66	51	128	2245	88	2143	40	14	506.8333333333333	0.039444195428059166	0.6875	0.07460788469690546	4.228214403156857
1	BLSTM-CRF	0.060000000000000005	66	51	128	1558	88	1460	40	10	506.8333333333333	0.056847545219638244	0.6875	0.10501193317422435	2.8806313712594545
1	BLSTM-CRF	0.11	66	51	128	1354	84	1260	44	10	506.8333333333333	0.0625	0.65625	0.11413043478260869	2.486024334100625
1	BLSTM-CRF	0.16000000000000003	66	51	128	1220	84	1126	44	10	506.8333333333333	0.06942148760330578	0.65625	0.12556053811659193	2.221637619204209
1	BLSTM-CRF	0.21000000000000002	66	51	128	1125	82	1033	46	10	506.8333333333333	0.07354260089686099	0.640625	0.13193885760257443	2.0381453469253534
1	BLSTM-CRF	0.26	66	51	128	1071	81	980	47	10	506.8333333333333	0.0763430725730443	0.6328125	0.13624894869638352	1.9335744820782639
1	BLSTM-CRF	0.31000000000000005	66	51	128	1019	81	928	47	10	506.8333333333333	0.0802775024777007	0.6328125	0.1424802110817942	1.8309766524169682
1	BLSTM-CRF	0.36000000000000004	66	51	128	985	81	894	47	10	506.8333333333333	0.08307692307692308	0.6328125	0.1468721668177697	1.7638934560999673
1	BLSTM-CRF	0.41000000000000003	66	51	128	927	81	836	47	10	506.8333333333333	0.08833151581243184	0.6328125	0.15502392344497606	1.6494574153239068
1	BLSTM-CRF	0.46	66	51	128	889	79	800	49	10	506.8333333333333	0.08987485779294653	0.6171875	0.15690168818272096	1.5784281486353173
1	BLSTM-CRF	0.51	66	51	128	863	78	775	50	10	506.8333333333333	0.0914419695193435	0.609375	0.15902140672782875	1.5291022689904636
1	BLSTM-CRF	0.56	66	51	128	828	76	742	52	10	506.8333333333333	0.09290953545232274	0.59375	0.160676532769556	1.4639921078592568
1	BLSTM-CRF	0.6100000000000001	66	51	128	793	76	707	52	10	506.8333333333333	0.0970625798212005	0.59375	0.1668496158068057	1.3949358763564617
1	BLSTM-CRF	0.66	66	51	128	754	74	671	54	9	506.8333333333333	0.09932885906040269	0.578125	0.16953035509736541	1.3239066096678724
1	BLSTM-CRF	0.7100000000000001	66	51	128	710	73	628	55	9	506.8333333333333	0.10413694721825963	0.5703125	0.17611580217129072	1.2390660966787241
1	BLSTM-CRF	0.76	66	51	128	668	71	588	57	9	506.8333333333333	0.10773899848254932	0.5546875	0.18043202033036848	1.1601446892469582
1	BLSTM-CRF	0.81	66	51	128	617	70	538	58	9	506.8333333333333	0.11513157894736842	0.546875	0.19021739130434784	1.0614929299572509
1	BLSTM-CRF	0.8600000000000001	66	51	128	560	67	484	61	9	506.8333333333333	0.12159709618874773	0.5234375	0.19734904270986744	0.954949029924367
1	BLSTM-CRF	0.91	66	51	128	497	62	427	66	8	506.8333333333333	0.12678936605316973	0.484375	0.20097244732576985	0.8424860243341007
1	BLSTM-CRF	0.9525741268224334	66	51	128	417	55	354	73	8	506.8333333333333	0.13447432762836187	0.4296875	0.2048417132216015	0.698454455771128
1	BLSTM-CRF	0.9626731126558706	66	51	128	389	52	329	76	8	506.8333333333333	0.13648293963254593	0.40625	0.2043222003929273	0.6491285761262743
1	BLSTM-CRF	0.9706877692486436	66	51	128	365	50	307	78	8	506.8333333333333	0.1400560224089636	0.390625	0.20618556701030927	0.6057218020388031
1	BLSTM-CRF	0.9770226300899744	66	51	128	350	48	295	80	7	506.8333333333333	0.13994169096209913	0.375	0.20382165605095542	0.5820453798092733
1	BLSTM-CRF	0.9820137900379085	66	51	128	315	42	267	86	6	506.8333333333333	0.13592233009708737	0.328125	0.19221967963386727	0.5268003946070372
