comparison	metric	point_difference	resamples	seed	lower_95	median	upper_95
NESTED-SELECTED_minus_NESTED-BLSTM-CRF	event_f1_difference	0.004123419087564667	2000	20260922	-0.05316511901419824	0.0061202503472506525	0.06077298645813519
NESTED-SELECTED_minus_NESTED-BLSTM-CRF	false_alarms_per_hour_difference	-0.015885833807701977	2000	20260922	-0.062084877343298	-0.015119491674269847	0.029568254368149794
