file	bytes	sha256	channels	channel_names	sfreq_hz	samples	duration_sec	meas_date
sub-53_task-Sleep_acq-headband_eeg.edf	92199424	f7c2756bb5d1563d38fd1859f8c057b3d657d5a4485135c360b4b9e88f7822f0	9	HB_1;HB_2;HB_IMU_1;HB_IMU_2;HB_IMU_3;HB_IMU_4;HB_IMU_5;HB_IMU_6;HB_PULSE	256.0	5122048	20008.0	2023-03-24 01:28:56+00:00
sub-53_task-Sleep_acq-psg_eeg.edf	143421184	f17ea0541b6f94f8decef502c2b660ae756a630553dc23d2016f4be840de9705	14	PSG_F3;PSG_F4;PSG_C3;PSG_C4;PSG_O1;PSG_O2;PSG_EOG;PSG_EMG;PSG_THER;PSG_THOR;PSG_ABD;PSG_PULSE;PSG_BEAT;PSG_SPO2	256.0	5122048	20008.0	2023-03-24 01:28:56+00:00
