subject	role	exists	bytes	relative_path
sub-7	headband_sidecar	True	513	sub-7/eeg/sub-7_task-Sleep_acq-headband_eeg.json
sub-7	headband_events_json	True	837	sub-7/eeg/sub-7_task-Sleep_acq-headband_events.json
sub-7	headband_events_tsv	True	27587	sub-7/eeg/sub-7_task-Sleep_acq-headband_events.tsv
sub-7	psg_channels	True	252	sub-7/eeg/sub-7_task-Sleep_acq-psg_channels.tsv
sub-7	psg_sidecar	True	498	sub-7/eeg/sub-7_task-Sleep_acq-psg_eeg.json
sub-7	psg_events_json	True	1022	sub-7/eeg/sub-7_task-Sleep_acq-psg_events.json
sub-7	psg_events_tsv	True	29322	sub-7/eeg/sub-7_task-Sleep_acq-psg_events.tsv
sub-8	scan_metadata	True	91	sub-8/sub-8_scans.tsv
sub-8	headband_channels	True	237	sub-8/eeg/sub-8_task-Sleep_acq-headband_channels.tsv
sub-8	headband_sidecar	True	513	sub-8/eeg/sub-8_task-Sleep_acq-headband_eeg.json
sub-8	headband_events_json	True	837	sub-8/eeg/sub-8_task-Sleep_acq-headband_events.json
sub-8	headband_events_tsv	True	11655	sub-8/eeg/sub-8_task-Sleep_acq-headband_events.tsv
sub-8	psg_channels	True	190	sub-8/eeg/sub-8_task-Sleep_acq-psg_channels.tsv
sub-8	psg_sidecar	True	497	sub-8/eeg/sub-8_task-Sleep_acq-psg_eeg.json
sub-8	psg_events_json	True	1022	sub-8/eeg/sub-8_task-Sleep_acq-psg_events.json
sub-8	psg_events_tsv	True	12483	sub-8/eeg/sub-8_task-Sleep_acq-psg_events.tsv
sub-9	scan_metadata	True	91	sub-9/sub-9_scans.tsv
sub-9	headband_channels	True	70	sub-9/eeg/sub-9_task-Sleep_acq-headband_channels.tsv
sub-9	headband_sidecar	True	513	sub-9/eeg/sub-9_task-Sleep_acq-headband_eeg.json
sub-9	headband_events_json	True	837	sub-9/eeg/sub-9_task-Sleep_acq-headband_events.json
sub-9	headband_events_tsv	True	31036	sub-9/eeg/sub-9_task-Sleep_acq-headband_events.tsv
sub-9	psg_channels	True	252	sub-9/eeg/sub-9_task-Sleep_acq-psg_channels.tsv
sub-9	psg_sidecar	True	498	sub-9/eeg/sub-9_task-Sleep_acq-psg_eeg.json
sub-9	psg_events_json	True	1022	sub-9/eeg/sub-9_task-Sleep_acq-psg_events.json
sub-9	psg_events_tsv	True	33155	sub-9/eeg/sub-9_task-Sleep_acq-psg_events.tsv
sub-10	scan_metadata	True	93	sub-10/sub-10_scans.tsv
sub-10	headband_channels	True	70	sub-10/eeg/sub-10_task-Sleep_acq-headband_channels.tsv
sub-10	headband_sidecar	True	513	sub-10/eeg/sub-10_task-Sleep_acq-headband_eeg.json
sub-10	headband_events_json	True	837	sub-10/eeg/sub-10_task-Sleep_acq-headband_events.json
sub-10	headband_events_tsv	True	29175	sub-10/eeg/sub-10_task-Sleep_acq-headband_events.tsv
sub-10	psg_channels	True	252	sub-10/eeg/sub-10_task-Sleep_acq-psg_channels.tsv
sub-10	psg_sidecar	True	498	sub-10/eeg/sub-10_task-Sleep_acq-psg_eeg.json
sub-10	psg_events_json	True	1022	sub-10/eeg/sub-10_task-Sleep_acq-psg_events.json
sub-10	psg_events_tsv	True	31171	sub-10/eeg/sub-10_task-Sleep_acq-psg_events.tsv
sub-11	scan_metadata	True	93	sub-11/sub-11_scans.tsv
sub-11	headband_channels	True	237	sub-11/eeg/sub-11_task-Sleep_acq-headband_channels.tsv
sub-11	headband_sidecar	True	513	sub-11/eeg/sub-11_task-Sleep_acq-headband_eeg.json
