source	sfreq_hz	samples	duration_sec	meas_date	channels
headband	256.0	5122048	20008.0	2023-03-24 01:28:56+00:00	HB_1;HB_2;HB_IMU_1;HB_IMU_2;HB_IMU_3;HB_IMU_4;HB_IMU_5;HB_IMU_6;HB_PULSE
psg	256.0	5122048	20008.0	2023-03-24 01:28:56+00:00	PSG_F3;PSG_F4;PSG_C3;PSG_C4;PSG_O1;PSG_O2;PSG_EOG;PSG_EMG;PSG_THER;PSG_THOR;PSG_ABD;PSG_PULSE;PSG_BEAT;PSG_SPO2
