transition_id	transition_type	boundary_onset_sec	signal_pair	window_start_sec	window_stop_sec	envelope_bin_sec	envelope_samples_headband	envelope_samples_psg	best_lag_samples	best_lag_sec	best_signed_corr	best_abs_corr	usable_for_alignment
197	REM_to_Wake	1620.0	HB_1_vs_PSG_F3	1500.0	1740.0	1.0	240	240	0	0.0	0.8253137671177396	0.8253137671177396	True
197	REM_to_Wake	1620.0	HB_1_vs_PSG_C3	1500.0	1740.0	1.0	240	240	8	8.0	0.5173003696410927	0.5173003696410927	True
197	REM_to_Wake	1620.0	HB_2_vs_PSG_F4	1500.0	1740.0	1.0	240	240	0	0.0	0.5965313826370175	0.5965313826370175	True
197	REM_to_Wake	1620.0	HB_2_vs_PSG_C4	1500.0	1740.0	1.0	240	240	0	0.0	0.5340529850330661	0.5340529850330661	True
198	Wake_to_REM	1650.0	HB_1_vs_PSG_F3	1530.0	1770.0	1.0	240	240	0	0.0	0.8337927982241664	0.8337927982241664	True
198	Wake_to_REM	1650.0	HB_1_vs_PSG_C3	1530.0	1770.0	1.0	240	240	8	8.0	0.521197022409252	0.521197022409252	True
198	Wake_to_REM	1650.0	HB_2_vs_PSG_F4	1530.0	1770.0	1.0	240	240	0	0.0	0.6032004133171014	0.6032004133171014	True
198	Wake_to_REM	1650.0	HB_2_vs_PSG_C4	1530.0	1770.0	1.0	240	240	6	6.0	0.5493289634395445	0.5493289634395445	True
199	REM_to_Wake	18540.0	HB_1_vs_PSG_F3	18420.0	18660.0	1.0	240	240	0	0.0	0.7100700142550243	0.7100700142550243	True
199	REM_to_Wake	18540.0	HB_1_vs_PSG_C3	18420.0	18660.0	1.0	240	240	9	9.0	0.5125770704393524	0.5125770704393524	True
199	REM_to_Wake	18540.0	HB_2_vs_PSG_F4	18420.0	18660.0	1.0	240	240	2	2.0	0.5904423686054134	0.5904423686054134	True
199	REM_to_Wake	18540.0	HB_2_vs_PSG_C4	18420.0	18660.0	1.0	240	240	2	2.0	0.6290338216572805	0.6290338216572805	True
200	REM_to_Wake	18840.0	HB_1_vs_PSG_F3	18720.0	18960.0	1.0	240	240	0	0.0	0.8710097675181069	0.8710097675181069	True
200	REM_to_Wake	18840.0	HB_1_vs_PSG_C3	18720.0	18960.0	1.0	240	240	26	26.0	0.5768366792834514	0.5768366792834514	True
200	REM_to_Wake	18840.0	HB_2_vs_PSG_F4	18720.0	18960.0	1.0	240	240	0	0.0	0.7734554268925312	0.7734554268925312	True
200	REM_to_Wake	18840.0	HB_2_vs_PSG_C4	18720.0	18960.0	1.0	240	240	-1	-1.0	0.6741373914917095	0.6741373914917095	True
201	Wake_to_REM	18870.0	HB_1_vs_PSG_F3	18750.0	18990.0	1.0	240	240	0	0.0	0.8700724650209242	0.8700724650209242	True
201	Wake_to_REM	18870.0	HB_1_vs_PSG_C3	18750.0	18990.0	1.0	240	240	26	26.0	0.544150000688322	0.544150000688322	True
201	Wake_to_REM	18870.0	HB_2_vs_PSG_F4	18750.0	18990.0	1.0	240	240	0	0.0	0.760431719782021	0.760431719782021	True
201	Wake_to_REM	18870.0	HB_2_vs_PSG_C4	18750.0	18990.0	1.0	240	240	-1	-1.0	0.6613031322393319	0.6613031322393319	True
202	REM_to_Wake	19080.0	HB_1_vs_PSG_F3	18960.0	19200.0	1.0	240	240	0	0.0	0.9388040192164503	0.9388040192164503	True
202	REM_to_Wake	19080.0	HB_1_vs_PSG_C3	18960.0	19200.0	1.0	240	240	1	1.0	0.8603001434735104	0.8603001434735104	True
202	REM_to_Wake	19080.0	HB_2_vs_PSG_F4	18960.0	19200.0	1.0	240	240	2	2.0	0.4617723358377362	0.4617723358377362	True
202	REM_to_Wake	19080.0	HB_2_vs_PSG_C4	18960.0	19200.0	1.0	240	240	1	1.0	0.5323222320731297	0.5323222320731297	True
