analysis_version	partition	contrast	metric	resamples	seed	lower_95	median	upper_95
v0.1	train	SF-C_minus_SF-B	precision	2000	20260815	0.011865540444720293	0.020995479326530307	0.03284614150549418
v0.1	train	SF-C_minus_SF-B	recall	2000	20260815	0.09146254355400694	0.16666666666666663	0.24490758567577967
v0.1	train	SF-C_minus_SF-B	f1	2000	20260815	0.021113337051119445	0.03733904175076462	0.057035830550337896
v0.1	train	SF-C_minus_SF-B	false_alarms_per_hour	2000	20260815	-0.5686696138556917	-0.2800973232970798	0.02977341906682683
v0.1	validation	SF-C_minus_SF-B	precision	2000	20260815	0.0006097857319657172	0.015887275768700044	0.04339027230240275
v0.1	validation	SF-C_minus_SF-B	recall	2000	20260815	0.0	0.15625	0.34486074270557016
v0.1	validation	SF-C_minus_SF-B	f1	2000	20260815	0.0011555660549928753	0.02881391276413571	0.07512567270162142
v0.1	validation	SF-C_minus_SF-B	false_alarms_per_hour	2000	20260815	-0.7212261989599508	-0.013476508114450114	0.48614360557131675
v0.1	test	SF-C_minus_SF-B	precision	2000	20260815	0.010970382847536299	0.024638006646983374	0.04092230065160273
v0.1	test	SF-C_minus_SF-B	recall	2000	20260815	0.0952156334231806	0.16981132075471697	0.2222222222222222
v0.1	test	SF-C_minus_SF-B	f1	2000	20260815	0.019926794858368003	0.04314288476035065	0.06762889379694546
v0.1	test	SF-C_minus_SF-B	false_alarms_per_hour	2000	20260815	-0.5027538573193162	-0.05755035185972657	0.3444772531749029
