dataset	snapshot	subject	acquisition	relative_path	official_bytes	local_bytes	official_sha256	local_sha256	size_match	sha256_match	status	official_pointer_url
ds005555	1.1.1	sub-7	psg	sub-7/eeg/sub-7_task-Sleep_acq-psg_eeg.edf	158138368	158138368	21cef8ad0f8e2e98ea111dab3ba3c668570ac6ef3712e212991c9b23075cde47	21cef8ad0f8e2e98ea111dab3ba3c668570ac6ef3712e212991c9b23075cde47	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-7/eeg/sub-7_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-8	headband	sub-8/eeg/sub-8_task-Sleep_acq-headband_eeg.edf	56634880	56634880	37e9ca51a39fa87b63e4995569f84c370b92419525df06e7a7c2933e844dc9c1	37e9ca51a39fa87b63e4995569f84c370b92419525df06e7a7c2933e844dc9c1	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-8/eeg/sub-8_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-8	psg	sub-8/eeg/sub-8_task-Sleep_acq-psg_eeg.edf	50342144	50342144	a82deb4e5c00b018563b5abc203f3fae5a2a746cd77f476be0095a7a0a257a39	a82deb4e5c00b018563b5abc203f3fae5a2a746cd77f476be0095a7a0a257a39	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-8/eeg/sub-8_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-9	headband	sub-9/eeg/sub-9_task-Sleep_acq-headband_eeg.edf	32431872	32431872	9e3ed1a7419af4300f00a46e31c886e0c5b5b73ffd5b1de477584d383840f39c	9e3ed1a7419af4300f00a46e31c886e0c5b5b73ffd5b1de477584d383840f39c	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-9/eeg/sub-9_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-9	psg	sub-9/eeg/sub-9_task-Sleep_acq-psg_eeg.edf	178374144	178374144	189c67c9dbea76c53e91a9153fa8ab6981687c63c82f0504fecf9e55fee76559	189c67c9dbea76c53e91a9153fa8ab6981687c63c82f0504fecf9e55fee76559	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-9/eeg/sub-9_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-10	headband	sub-10/eeg/sub-10_task-Sleep_acq-headband_eeg.edf	30527232	30527232	a0d6671b8172bd24f5561e81ab360de319342f91cc2c7c5d49474972d195bd38	a0d6671b8172bd24f5561e81ab360de319342f91cc2c7c5d49474972d195bd38	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-10/eeg/sub-10_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-10	psg	sub-10/eeg/sub-10_task-Sleep_acq-psg_eeg.edf	167898624	167898624	7b198c761a784379cf1def92a432dcf9c6da321f09930cc2e79865965c648b86	7b198c761a784379cf1def92a432dcf9c6da321f09930cc2e79865965c648b86	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-10/eeg/sub-10_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-11	headband	sub-11/eeg/sub-11_task-Sleep_acq-headband_eeg.edf	136228864	136228864	30648eff11ee3f933efd6ebb281e70c4908f571ac258934395bf423dba375a44	30648eff11ee3f933efd6ebb281e70c4908f571ac258934395bf423dba375a44	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-11/eeg/sub-11_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-11	psg	sub-11/eeg/sub-11_task-Sleep_acq-psg_eeg.edf	121092352	121092352	0d9779f329129a6570072d329a45e870a6c411fac03515342e2716969999060c	0d9779f329129a6570072d329a45e870a6c411fac03515342e2716969999060c	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-11/eeg/sub-11_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-12	headband	sub-12/eeg/sub-12_task-Sleep_acq-headband_eeg.edf	31134464	31134464	acf8c67beb601928712494e7e4a0c6ecc0572d658dc82de5e1e1e90790d3776e	acf8c67beb601928712494e7e4a0c6ecc0572d658dc82de5e1e1e90790d3776e	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-12/eeg/sub-12_task-Sleep_acq-headband_eeg.edf
