comparison	left_comparator	right_comparator	paired_pid	left_f1	right_f1	event_f1_difference	left_false_alarms_per_hour	right_false_alarms_per_hour	false_alarms_per_hour_difference
P2-D_minus_P2-H2-Z	P2-D	P2-H2-Z	16	0.18867924528301888	0.0684931506849315	0.12018609459808738	0.3702347957956387	0.6526172671651936	-0.2823824713695549
H2-D_minus_P2-H2-Z	H2-D	P2-H2-Z	16	0.11228070175438597	0.0684931506849315	0.043787551069454464	1.4558385190608167	0.6526172671651936	0.8032212518956231
P2-D_minus_H2-D	P2-D	H2-D	16	0.18867924528301888	0.11228070175438597	0.07639854352863291	0.3702347957956387	1.4558385190608167	-1.085603723265178
