metric	point	resamples	seed	lower_95	median	upper_95
shared_miss_fraction	0.3783783783783784	5000	20260913	0.22580645161290322	0.37777777777777777	0.5510380014074592
psg_only_fraction	0.1891891891891892	5000	20260913	0.1111111111111111	0.1875	0.2962962962962963
wearable_only_fraction	0.08108108108108109	5000	20260913	0.0	0.07894736842105263	0.15
direct_union_recall	0.6216216216216216	5000	20260913	0.4489619985925405	0.6222222222222222	0.7741935483870968
direct_union_gain_over_best	0.10810810810810811	5000	20260913	0.0	0.10344827586206895	0.18918918918918914
boundary_union_recall_gain	0.10810810810810811	5000	20260913	0.023809523809523725	0.10526315789473684	0.2400344827586202
psg_union_minus_h2_recall	0.10810810810810811	5000	20260913	0.0	0.10869565217391305	0.25
