membership	tolerance_sec	reference_events	p6_d_recall	p2_d_recall	h2_d_recall	p2_h2_z_recall	direct_psg_union_recall	direct_union_recall	best_individual_direct_recall	direct_union_gain_over_best	both_psg_and_wearable	psg_only	wearable_only	shared_miss	psg_only_fraction	wearable_only_fraction	shared_miss_fraction
expanded	15.0	51	0.5686274509803921	0.29411764705882354	0.47058823529411764	0.19607843137254902	0.5882352941176471	0.6862745098039216	0.5686274509803921	0.11764705882352944	19	11	5	16	0.21568627450980393	0.09803921568627451	0.3137254901960784
expanded	45.0	51	0.6666666666666666	0.3333333333333333	0.6274509803921569	0.29411764705882354	0.6666666666666666	0.7843137254901961	0.6666666666666666	0.11764705882352944	26	8	6	11	0.1568627450980392	0.11764705882352941	0.21568627450980393
primary	15.0	37	0.5135135135135135	0.2702702702702703	0.43243243243243246	0.13513513513513514	0.5405405405405406	0.6216216216216216	0.5135135135135135	0.10810810810810811	13	7	3	14	0.1891891891891892	0.08108108108108109	0.3783783783783784
primary	45.0	37	0.6216216216216216	0.2972972972972973	0.5405405405405406	0.21621621621621623	0.6216216216216216	0.7297297297297297	0.6216216216216216	0.10810810810810811	16	7	4	10	0.1891891891891892	0.10810810810810811	0.2702702702702703
