analysis_version	comparator	partition	recordings	supported_hours	human_all_stage_transitions	predicted_all_stage_transitions	human_all_stage_transitions_per_hour	predicted_all_stage_transitions_per_hour	predicted_to_human_all_transition_rate_ratio	human_rem_to_wake_transitions	predicted_rem_to_wake_transitions	human_rem_to_wake_transitions_per_hour	predicted_rem_to_wake_transitions_per_hour	human_rem_epochs	predicted_rem_epochs	human_rem_bouts	predicted_rem_bouts	predicted_to_human_rem_bout_count_ratio	human_median_rem_bout_duration_sec	predicted_median_rem_bout_duration_sec	human_mean_rem_bout_duration_sec	predicted_mean_rem_bout_duration_sec
v0.1	SF-B	test	26	200.975	1992	7063	9.911680557283244	35.14367458639134	3.5456827309236947	73	420	0.3632292573703197	2.0898121656922504	3824	2502	156	1270	8.14102564102564	600.0	30.0	735.3846153846155	59.102362204724415
v0.1	SF-B	train	82	635.0416666666666	6422	25497	10.112722262318746	40.15012138311135	3.9702584864528183	235	1703	0.37005445836887346	2.681713798307198	12398	12832	474	5918	12.485232067510548	630.0	30.0	783.6075949367089	65.03886448124366
v0.1	SF-B	validation	20	160.50833333333333	1822	5917	11.351435543325893	36.86412958828721	3.247530186608123	57	355	0.35512174861118323	2.211723171174913	2532	2551	106	1272	12.0	465.0	30.0	713.4905660377359	60.165094339622634
v0.1	SF-C	test	26	199.57500000000002	1979	4311	9.916071652261055	21.600901916572717	2.1783729156139464	72	414	0.36076662908680945	2.0744081172491544	3817	3269	156	799	5.121794871794871	600.0	60.0	734.0384615384615	122.74092615769712
v0.1	SF-C	train	82	631.3416666666668	6384	14432	10.111798946687607	22.859254761684767	2.2606516290726817	232	1556	0.3674713902931587	2.4645926004144605	12382	14879	473	3189	6.7420718816067655	630.0	60.0	784.3763213530656	139.89651928504233
v0.1	SF-C	validation	20	159.74166666666665	1813	3427	11.349574834367992	21.45338828316553	1.8902371759514616	57	358	0.35682612551515475	2.241118472533779	2526	3945	106	745	7.028301886792453	465.0	60.0	712.3584905660377	158.45637583892616
