comparator	model_version	partition	epochs	accuracy	balanced_accuracy	macro_f1	cohen_kappa	reference_events	predicted_events	supported_hours	precision	recall	event_f1	false_alarms_per_hour	stage_macro_f1_minus_event_f1
SF-A	v0.1	test	23086	0.8718270813480031	0.7063789722260114	0.7247795666258743	0.7862637267602878	59	77	191.625	0.3333333333333333	0.423728813559322	0.373134328358209	0.2609262883235486	0.3516452382676653
SF-B	v0.1	test	24159	0.563185562316321	0.5359995545983331	0.438236012777548	0.387432071765562	59	420	200.975	0.0192307692307692	0.135593220338983	0.0336842105263157	2.030103246672472	0.4045518022512323
SF-C	v0.1	test	23991	0.6205243633029053	0.6079690066346674	0.4978761717704406	0.4512718371926475	59	414	199.575	0.0437956204379562	0.3050847457627119	0.076595744680851	1.969184517098835	0.42128042708958957
SF-A	v0.1	train	74012	0.8634275522888181	0.6960756500508433	0.7102580128347681	0.7603865848303143	180	257	614.2416666666668	0.1795918367346938	0.2444444444444444	0.2070588235294117	0.3272327666906347	0.5031991893053563
SF-B	v0.1	train	76316	0.5325619791393679	0.5415693042424565	0.4265170540681359	0.347015664559374	180	1703	635.0416666666666	0.0195150798344175	0.1833333333333333	0.0352752538749331	2.610852306279116	0.3912418001932028
SF-C	v0.1	train	75872	0.5839835512442008	0.6127971567849837	0.4810035241039602	0.4035787737021099	180	1556	631.3416666666668	0.0410958904109589	0.35	0.073555166374781	2.328374757460962	0.4074483577291792
SF-A	v0.1	validation	17792	0.8780912769784173	0.7181826743544828	0.7468518735015898	0.7809912940248831	37	55	147.66666666666666	0.1886792452830188	0.2702702702702703	0.2222222222222222	0.291196388261851	0.5246296512793676
SF-B	v0.1	validation	19284	0.5467745281062021	0.5384197723461462	0.4459988978058552	0.3628177337324744	37	355	160.50833333333333	0.0112676056338028	0.1081081081081081	0.0204081632653061	2.1868023467109703	0.42559073454054913
SF-C	v0.1	validation	19192	0.5959253855773239	0.6052130235028453	0.4968732506017851	0.4163443698553555	37	358	159.74166666666665	0.028169014084507	0.2702702702702703	0.0510204081632653	2.1597370754864627	0.4458528424385198
