analysis_version	comparator	partition	primary_15s_precision	primary_45s_precision	primary_45s_minus_15s_precision	expanded_15s_precision	expanded_minus_primary_15s_precision	primary_15s_recall	primary_45s_recall	primary_45s_minus_15s_recall	expanded_15s_recall	expanded_minus_primary_15s_recall	primary_15s_f1	primary_45s_f1	primary_45s_minus_15s_f1	expanded_15s_f1	expanded_minus_primary_15s_f1	primary_15s_false_alarms_per_hour	primary_45s_false_alarms_per_hour	primary_45s_minus_15s_false_alarms_per_hour	expanded_15s_false_alarms_per_hour	expanded_minus_primary_15s_false_alarms_per_hour
v0.1	SF-A	test	0.3333333333333333	0.4594594594594595	0.12612612612612617	0.3506493506493506	0.017316017316017285	0.423728813559322	0.576271186440678	0.15254237288135597	0.3857142857142857	-0.03801452784503634	0.373134328358209	0.5112781954887218	0.1381438671305128	0.3673469387755102	-0.005787389582698754	0.2609262883235486	0.2087410306588388	-0.05218525766470977	0.2609262883235486	0.0
v0.1	SF-A	train	0.1795918367346938	0.2742616033755274	0.0946697666408336	0.2086614173228346	0.029069580588140798	0.2444444444444444	0.3611111111111111	0.1166666666666667	0.2334801762114537	-0.01096426823299071	0.2070588235294117	0.3117505995203837	0.10469177599097199	0.2203742203742204	0.013315396844808675	0.3272327666906347	0.2800200789591501	-0.047212687731484626	0.3272327666906347	0.0
v0.1	SF-A	validation	0.1886792452830188	0.2692307692307692	0.08055152394775042	0.2181818181818181	0.02950257289879929	0.2702702702702703	0.3783783783783784	0.10810810810810811	0.2352941176470588	-0.03497615262321149	0.2222222222222222	0.3146067415730337	0.09238451935081149	0.2264150943396226	0.004192872117400381	0.291196388261851	0.2573363431151241	-0.033860045146726914	0.291196388261851	0.0
v0.1	SF-B	test	0.0192307692307692	0.0313253012048192	0.012094531974050002	0.0285714285714285	0.0093406593406593	0.135593220338983	0.2203389830508474	0.0847457627118644	0.1714285714285714	0.03583535108958841	0.0336842105263157	0.0548523206751054	0.0211681101487897	0.0489795918367346	0.015295381310418903	2.030103246672472	2.0002487871625823	-0.029854459509889963	2.030103246672472	0.0
v0.1	SF-B	train	0.0195150798344175	0.0327380952380952	0.013223015403677697	0.0258519388954171	0.006336859060999598	0.1833333333333333	0.3055555555555556	0.12222222222222229	0.1938325991189427	0.010499265785609418	0.0352752538749331	0.0591397849462365	0.023864531071303402	0.0456194919647485	0.010344238089815404	2.610852306279116	2.558887212125189	-0.051965094153926916	2.610852306279116	0.0
v0.1	SF-B	validation	0.0112676056338028	0.0198300283286118	0.008562422694809	0.0112676056338028	0.0	0.1081081081081081	0.1891891891891892	0.0810810810810811	0.0784313725490196	-0.029676735559088493	0.0204081632653061	0.0358974358974358	0.015489272632129698	0.0197044334975369	-0.0007037297677691991	2.1868023467109703	2.155651316131042	-0.031151030579928296	2.1868023467109703	0.0
v0.1	SF-C	test	0.0437956204379562	0.0609756097560975	0.017179989318141298	0.0507246376811594	0.006929017243203203	0.3050847457627119	0.423728813559322	0.11864406779661013	0.3	-0.005084745762711895	0.076595744680851	0.1066098081023454	0.030014063421494402	0.0867768595041322	0.010181114823281212	1.969184517098835	1.9290993360891893	-0.04008518100964564	1.969184517098835	0.0
v0.1	SF-C	train	0.0410958904109589	0.0602883355176933	0.0191924451067344	0.054054054054054	0.0129581636430951	0.35	0.5111111111111111	0.1611111111111111	0.3700440528634361	0.020044052863436135	0.073555166374781	0.107854630715123	0.03429946434034199	0.0943290286355979	0.0207738622608169	2.328374757460962	2.271353334829265	-0.05702142263169696	2.328374757460962	0.0
v0.1	SF-C	validation	0.028169014084507	0.0480225988700565	0.019853584785549497	0.0363128491620111	0.008143835077504099	0.2702702702702703	0.4594594594594595	0.1891891891891892	0.2549019607843137	-0.015368309485956577	0.0510204081632653	0.0869565217391304	0.035936113575865104	0.0635696821515892	0.012549273988323902	2.1597370754864627	2.1096562157650376	-0.050080859721425064	2.1597370754864627	0.0
