model	partition	membership	threshold	subject	pid	tolerance_sec	reference_events	predicted_events	ignored_reference_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
LR-OOF	train_oof	primary	0.98	sub-20	13	45.0	2	8	0	1	7	1	0	8.675	0.125	0.5	0.2	0.8069164265129682
LR-OOF	train_oof	primary	0.98	sub-21	93	45.0	0	13	1	0	12	0	1	8.633333333333333	0.0		0.0	1.38996138996139
LR-OOF	train_oof	primary	0.98	sub-22	14	45.0	1	7	1	0	7	1	0	8.558333333333334	0.0	0.0	0.0	0.8179162609542356
LR-OOF	train_oof	primary	0.98	sub-24	16	45.0	2	18	0	2	16	0	0	7.716666666666667	0.1111111111111111	1.0	0.2	2.073434125269978
LR-OOF	train_oof	primary	0.98	sub-27	19	45.0	3	7	1	2	5	1	0	7.875	0.2857142857142857	0.6666666666666666	0.4	0.6349206349206349
LR-OOF	train_oof	primary	0.98	sub-28	20	45.0	1	3	0	0	3	1	0	7.1	0.0	0.0	0.0	0.4225352112676057
LR-OOF	train_oof	primary	0.98	sub-29	21	45.0	0	72	3	0	69	0	3	9.175	0.0		0.0	7.5204359673024515
LR-OOF	train_oof	primary	0.98	sub-3	1	45.0	4	21	1	3	17	1	1	8.25	0.15	0.75	0.25	2.0606060606060606
LR-OOF	train_oof	primary	0.98	sub-30	94	45.0	2	2	1	1	1	1	0	6.891666666666667	0.5	0.5	0.5	0.14510278113663846
LR-OOF	train_oof	primary	0.98	sub-31	95	45.0	0	0	0	0	0	0	0	7.025				0.0
LR-OOF	train_oof	primary	0.98	sub-33	84	45.0	8	4	0	2	2	6	0	7.241666666666666	0.5	0.25	0.3333333333333333	0.27617951668584584
LR-OOF	train_oof	primary	0.98	sub-36	84	45.0	6	2	1	0	1	6	1	7.4	0.0	0.0	0.0	0.13513513513513511
LR-OOF	train_oof	primary	0.98	sub-38	87	45.0	0	83	1	0	82	0	1	7.033333333333333	0.0		0.0	11.65876777251185
