model	partition	membership	threshold	subject	pid	tolerance_sec	reference_events	predicted_events	ignored_reference_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
LR-OOF	train_oof	primary	0.98	sub-30	94	15.0	2	2	1	1	1	1	0	6.891666666666667	0.5	0.5	0.5	0.14510278113663846
LR-OOF	train_oof	primary	0.98	sub-31	95	15.0	0	0	0	0	0	0	0	7.025				0.0
LR-OOF	train_oof	primary	0.98	sub-33	84	15.0	8	4	0	2	2	6	0	7.241666666666666	0.5	0.25	0.3333333333333333	0.27617951668584584
LR-OOF	train_oof	primary	0.98	sub-36	84	15.0	6	2	1	0	2	6	0	7.4	0.0	0.0	0.0	0.27027027027027023
LR-OOF	train_oof	primary	0.98	sub-38	87	15.0	0	83	1	0	82	0	1	7.033333333333333	0.0		0.0	11.65876777251185
LR-OOF	train_oof	primary	0.98	sub-39	85	15.0	0	4	1	0	4	0	0	7.383333333333334	0.0		0.0	0.5417607223476297
LR-OOF	train_oof	primary	0.98	sub-42	84	15.0	6	0	0	0	0	6	0	7.391666666666667		0.0	0.0	0.0
LR-OOF	train_oof	primary	0.98	sub-43	87	15.0	0	5	1	0	5	0	0	6.758333333333334	0.0		0.0	0.7398273736128236
LR-OOF	train_oof	primary	0.98	sub-45	24	15.0	1	9	0	0	9	1	0	6.716666666666667	0.0	0.0	0.0	1.3399503722084367
LR-OOF	train_oof	primary	0.98	sub-47	87	15.0	0	1	0	0	1	0	0	6.541666666666667	0.0		0.0	0.15286624203821655
LR-OOF	train_oof	primary	0.98	sub-49	29	15.0	2	8	0	1	7	1	0	7.458333333333333	0.125	0.5	0.2	0.9385474860335196
LR-OOF	train_oof	primary	0.98	sub-52	31	15.0	3	1	1	0	1	3	0	7.633333333333334	0.0	0.0	0.0	0.13100436681222707
LR-OOF	train_oof	primary	0.98	sub-56	78	15.0	3	7	2	0	6	3	1	7.925	0.0	0.0	0.0	0.7570977917981073
LR-OOF	train_oof	primary	0.98	sub-58	78	15.0	4	8	2	3	5	1	0	8.316666666666666	0.375	0.75	0.5	0.6012024048096193
LR-OOF	train_oof	primary	0.98	sub-59	79	15.0	4	3	1	2	1	2	0	8.508333333333333	0.6666666666666666	0.5	0.5714285714285714	0.11753183153770813
LR-OOF	train_oof	primary	0.98	sub-60	80	15.0	0	2	0	0	2	0	0	7.141666666666667	0.0		0.0	0.28004667444574094
LR-OOF	train_oof	primary	0.98	sub-61	79	15.0	0	120	5	0	117	0	3	7.841666666666667	0.0		0.0	14.920297555791711
LR-OOF	train_oof	primary	0.98	sub-62	80	15.0	2	3	0	0	3	2	0	8.133333333333333	0.0	0.0	0.0	0.36885245901639346
LR-OOF	train_oof	primary	0.98	sub-63	81	15.0	1	2	0	1	1	0	0	7.25	0.5	1.0	0.6666666666666666	0.13793103448275862
LR-OOF	train_oof	primary	0.98	sub-64	82	15.0	2	0	0	0	0	2	0	7.216666666666667		0.0	0.0	0.0
LR-OOF	train_oof	primary	0.98	sub-65	81	15.0	0	91	1	0	90	0	1	7.416666666666667	0.0		0.0	12.134831460674157
LR-OOF	train_oof	primary	0.98	sub-66	82	15.0	2	2	0	1	1	1	0	8.85	0.5	0.5	0.5	0.11299435028248588
LR-OOF	train_oof	primary	0.98	sub-67	32	15.0	5	40	1	5	34	0	1	7.641666666666667	0.1282051282051282	1.0	0.22727272727272727	4.449291166848419
LR-OOF	train_oof	primary	0.98	sub-68	33	15.0	2	13	0	2	11	0	0	7.041666666666667	0.15384615384615385	1.0	0.26666666666666666	1.5621301775147929
LR-OOF	train_oof	primary	0.98	sub-69	34	15.0	0	11	1	0	10	0	1	8.3	0.0		0.0	1.2048192771084336
LR-OOF	train_oof	primary	0.98	sub-70	35	15.0	2	1	0	0	1	2	0	7.225	0.0	0.0	0.0	0.1384083044982699
LR-OOF	train_oof	primary	0.98	sub-71	36	15.0	3	20	0	2	18	1	0	9.225	0.1	0.6666666666666666	0.17391304347826086	1.9512195121951221
LR-OOF	train_oof	primary	0.98	sub-73	38	15.0	1	2	0	1	1	0	0	6.858333333333333	0.5	1.0	0.6666666666666666	0.14580801944106925
LR-OOF	train_oof	primary	0.98	sub-74	39	15.0	2	2	0	0	2	2	0	8.016666666666667	0.0	0.0	0.0	0.24948024948024947
LR-OOF	train_oof	primary	0.98	sub-77	42	15.0	0	16	3	0	16	0	0	8.925	0.0		0.0	1.7927170868347337
LR-OOF	train_oof	primary	0.98	sub-78	43	15.0	2	7	0	2	5	0	0	7.275	0.2857142857142857	1.0	0.4444444444444444	0.6872852233676976
LR-OOF	train_oof	primary	0.98	sub-8	6	15.0	0	1	0	0	1	0	0	3.35	0.0		0.0	0.29850746268656714
LR-OOF	train_oof	primary	0.98	sub-80	45	15.0	0	0	0	0	0	0	0	6.775				0.0
LR-OOF	train_oof	primary	0.98	sub-81	46	15.0	5	14	3	2	10	3	2	7.483333333333333	0.16666666666666666	0.4	0.23529411764705882	1.3363028953229399
LR-OOF	train_oof	primary	0.98	sub-83	50	15.0	1	6	0	0	6	1	0	7.375	0.0	0.0	0.0	0.8135593220338984
LR-OOF	train_oof	primary	0.98	sub-84	51	15.0	1	6	0	0	6	1	0	8.416666666666666	0.0	0.0	0.0	0.712871287128713
LR-OOF	train_oof	primary	0.98	sub-86	53	15.0	0	1	0	0	1	0	0	7.808333333333334	0.0		0.0	0.128068303094984
LR-OOF	train_oof	primary	0.98	sub-87	54	15.0	1	15	1	0	14	1	1	7.916666666666667	0.0	0.0	0.0	1.768421052631579
LR-OOF	train_oof	primary	0.98	sub-91	58	15.0	5	3	0	0	3	5	0	8.45	0.0	0.0	0.0	0.3550295857988166
LR-OOF	train_oof	primary	0.98	sub-92	59	15.0	3	7	0	0	7	3	0	8.175	0.0	0.0	0.0	0.856269113149847
LR-OOF	train_oof	primary	0.98	sub-93	60	15.0	3	2	0	0	2	3	0	7.258333333333334	0.0	0.0	0.0	0.2755453501722158
LR-OOF	train_oof	primary	0.98	sub-94	61	15.0	0	19	2	0	17	0	2	8.316666666666666	0.0		0.0	2.0440881763527057
LR-OOF	train_oof	primary	0.98	sub-95	62	15.0	4	6	2	0	6	4	0	8.133333333333333	0.0	0.0	0.0	0.7377049180327869
LR-OOF	train_oof	primary	0.98	sub-96	63	15.0	4	21	0	2	19	2	0	8.033333333333333	0.09523809523809523	0.5	0.16	2.3651452282157677
LR-OOF	train_oof	primary	0.98	sub-98	65	15.0	7	19	0	4	15	3	0	7.45	0.21052631578947367	0.5714285714285714	0.3076923076923077	2.013422818791946
LR-OOF	train_oof	primary	0.98	sub-99	66	15.0	0	4	0	0	4	0	0	8.708333333333334	0.0		0.0	0.4593301435406698
LR-OOF	train_oof	primary	0.98	sub-10	91	45.0	0	4	0	0	4	0	0	8.216666666666667	0.0		0.0	0.486815415821501
LR-OOF	train_oof	primary	0.98	sub-100	67	45.0	4	15	1	2	12	2	1	8.241666666666667	0.14285714285714285	0.5	0.2222222222222222	1.4560161779575327
LR-OOF	train_oof	primary	0.98	sub-101	68	45.0	5	3	0	1	2	4	0	7.733333333333333	0.3333333333333333	0.2	0.25	0.25862068965517243
LR-OOF	train_oof	primary	0.98	sub-103	71	45.0	0	1	0	0	1	0	0	7.091666666666667	0.0		0.0	0.1410105757931845
LR-OOF	train_oof	primary	0.98	sub-104	72	45.0	1	1	1	0	0	1	1	6.933333333333334		0.0	0.0	0.0
LR-OOF	train_oof	primary	0.98	sub-107	75	45.0	1	8	0	1	7	0	0	7.875	0.125	1.0	0.2222222222222222	0.8888888888888888
LR-OOF	train_oof	primary	0.98	sub-108	76	45.0	1	7	1	1	5	0	1	8.058333333333334	0.16666666666666666	1.0	0.2857142857142857	0.6204756980351602
LR-OOF	train_oof	primary	0.98	sub-109	96	45.0	5	3	0	1	2	4	0	6.966666666666667	0.3333333333333333	0.2	0.25	0.28708133971291866
LR-OOF	train_oof	primary	0.98	sub-11	8	45.0	0	57	2	0	55	0	2	8.083333333333334	0.0		0.0	6.804123711340206
LR-OOF	train_oof	primary	0.98	sub-110	96	45.0	0	21	4	0	18	0	3	7.883333333333334	0.0		0.0	2.2832980972515857
LR-OOF	train_oof	primary	0.98	sub-111	96	45.0	5	8	0	2	6	3	0	7.95	0.25	0.4	0.3076923076923077	0.7547169811320754
LR-OOF	train_oof	primary	0.98	sub-115	98	45.0	1	2	0	0	2	1	0	6.983333333333333	0.0	0.0	0.0	0.2863961813842482
LR-OOF	train_oof	primary	0.98	sub-116	98	45.0	1	10	1	1	8	0	1	7.083333333333333	0.1111111111111111	1.0	0.2	1.1294117647058823
LR-OOF	train_oof	primary	0.98	sub-117	98	45.0	4	3	1	0	3	4	0	6.55	0.0	0.0	0.0	0.4580152671755725
LR-OOF	train_oof	primary	0.98	sub-118	99	45.0	2	5	0	1	4	1	0	7.258333333333334	0.2	0.5	0.2857142857142857	0.5510907003444316
LR-OOF	train_oof	primary	0.98	sub-119	99	45.0	3	2	0	1	1	2	0	7.425	0.5	0.3333333333333333	0.4	0.13468013468013468
LR-OOF	train_oof	primary	0.98	sub-12	92	45.0	9	6	0	3	3	6	0	8.266666666666667	0.5	0.3333333333333333	0.4	0.36290322580645157
LR-OOF	train_oof	primary	0.98	sub-120	99	45.0	2	3	1	1	2	1	0	6.516666666666667	0.3333333333333333	0.5	0.4	0.3069053708439898
LR-OOF	train_oof	primary	0.98	sub-121	100	45.0	0	8	1	0	7	0	1	7.383333333333334	0.0		0.0	0.9480812641083521
LR-OOF	train_oof	primary	0.98	sub-122	101	45.0	0	2	0	0	2	0	0	7.241666666666666	0.0		0.0	0.27617951668584584
LR-OOF	train_oof	primary	0.98	sub-125	104	45.0	3	4	0	1	3	2	0	8.008333333333333	0.25	0.3333333333333333	0.2857142857142857	0.37460978147762747
LR-OOF	train_oof	primary	0.98	sub-128	108	45.0	1	8	0	1	7	0	0	6.716666666666667	0.125	1.0	0.2222222222222222	1.0421836228287842
LR-OOF	train_oof	primary	0.98	sub-13	91	45.0	0	2	0	0	2	0	0	8.25	0.0		0.0	0.24242424242424243
LR-OOF	train_oof	primary	0.98	sub-14	9	45.0	3	23	1	3	20	0	0	8.725	0.13043478260869565	1.0	0.23076923076923078	2.2922636103151866
LR-OOF	train_oof	primary	0.98	sub-15	10	45.0	3	12	0	2	10	1	0	8.991666666666667	0.16666666666666666	0.6666666666666666	0.26666666666666666	1.1121408711770158
LR-OOF	train_oof	primary	0.98	sub-16	11	45.0	6	12	1	1	11	5	0	8.408333333333333	0.08333333333333333	0.16666666666666666	0.1111111111111111	1.3082259663032705
LR-OOF	train_oof	primary	0.98	sub-17	92	45.0	10	3	1	2	1	8	0	8.058333333333334	0.6666666666666666	0.2	0.3076923076923077	0.12409513960703206
LR-OOF	train_oof	primary	0.98	sub-19	93	45.0	0	31	2	0	29	0	2	8.375	0.0		0.0	3.462686567164179
